SPEED,TRAVEL_TIME,BOROUGH,LINK_NAME
57.17,81,Staten Island,WSE N BLOOMUINGDALE ROAD - ARDEN AVENUE
60.89,43,Queens,CIP N ramp to TNB - TNB Queens Anchorage
16.16,319,Manhattan,QMT E Manhattan Side - Toll Plaza
6.84,661,Brooklyn,VNB W BROOKLYN GANTRY UPPER LEVEL - SI GANTRY UPPER LEVEL
16.78,251,Bronx,BE S CASTLE HILL AVENUE - STRATFORD AVENUE
54.06,139,Bronx,BE S Griswold - Castle Hill Avenue
21.13,220,Brooklyn,VNB W BROOKLYN GANTRY LOWER LEVEL - SI GANTRY LOWER LEVEL
50.95,62,Staten Island,VNB W-SIE W SI GANTRY LOWER LEVEL - FINGERBOARD ROAD
55.92,88,Queens,LIE E 84TH ST - 108TH ST
55.3,68,Queens,Belt Pkwy W 182nd St - JFK Expressway
16.78,281,Manhattan,LINCOLN TUNNEL W NORTH TUBE NY - NJ
47.85,227,Queens,CVE NB LIE - WILLETS PT BLVD
24.85,360,Queens,Laurelton Pkwy S @ SSP - Belt Pkwy W 182nd St
19.88,377,Staten Island,WSE N TYRELLAN AVENUE - BLOOMINGDALE ROAD
3.73,1856,Bronx,CBE W U/LEV AMSTERDAM AVE - I95 S EXP LNS
27.96,93,Manhattan,BKN Bridge Manhattan Side - FDR N Catherine Slip
42.87,115,Manhattan,LINCOLN TUNNEL W NORTH TUBE NY - NJ
60.27,42,Bronx,CBE W CASTLE HILL AVENUE - TAYLOR AVENUE
24.23,58,Staten Island,SIE E VNB E FINGERBOARD ROAD - SI GANTRY UPPER LEVEL
37.28,186,Queens,TNB N Queens Anchorage - Toll Plaza
6.84,193,Staten Island,SIE E VNB E FINGERBOARD ROAD - SI GANTRY LOWER LEVEL
6.84,1196,Queens,VWE S MP6.39 (Exit 11 Jewel Ave) - MP4.63 (Exit 6 Jamaica Ave)
8.7,235,Queens,VWE S MP8.65 (Exit 13 Northern Blvd) - MP6.39 (Exit 11 Jewel Ave)
16.78,271,Queens,BWB N Queens Anchorage - Toll Plaza
47.85,413,Manhattan,Westside Hwy S GWB - 57th St
21.75,196,Bronx,CBE E AMSTERDAM AVE(U/LVL) - MORRIS AVE
55.3,167,Queens,Laurelton Pkwy S @ SSP - Belt Pkwy W 182nd St
13.05,389,Manhattan,11th ave n ganservoort - 12th ave @ 40th st
54.06,146,Queens,Laurelton Pkwy N @ SSP - CIP N Hempstead Tpk
6.21,641,Bronx,MDE S HARLEM RIVER PARK - GWB W AMSTERDAM AVENUE UPPER LEVEL
49.09,188,Queens,Belt Pkwy E 182nd St - Laurelton Pkwy N @ SSP
47.85,191,Queens,Belt Pkwy E 182nd St - Laurelton Pkwy N @ SSP
24.23,278,Queens,TNB N Queens Anchorage - Toll Plaza
50.95,168,Queens,LIE E 84TH ST - 108TH ST
45.98,201,Queens,Laurelton Pkwy S @ SSP - Belt Pkwy W 182nd St
3.73,2155,Manhattan,BQE N Atlantic Ave - MAN Bridge Manhattan Side
54.06,131,Bronx,BE N Castle Hill Avenue - Griswold Ave
55.92,165,Queens,Laurelton Pkwy S @ SSP - Belt Pkwy W 182nd St
