SPEED,TRAVEL_TIME,BOROUGH,LINK_NAME
45.36,112,Bronx,MDE N RFK Bridge - 142nd St
46.6,148,Queens,BE S TBB EXIT RAMP - QUEENS ANCHORAGE
6.83,314,Staten Island,SIE E VNB E FINGERBOARD ROAD - SI GANTRY UPPER LEVEL
21.74,360,Queens,Laurelton Pkwy N @ SSP - CIP N Hempstead Tpk
50.33,53,Queens,TNB S Qns Anchorage - CIP S @ TNB
25.47,93,Manhattan,FDR N - TBB E 116TH STREET - MANHATTAN TRUSS
51.57,76,Staten Island,SIE W WOOLEY AVENUE - RICHMOND AVENUE
49.7,232,Queens,CIP N TNB - Whitestone Expwy S Exit 14 (Linden Pl)
19.88,353,Manhattan,BQE N Atlantic Ave - BKN Bridge Manhattan Side
39.14,54,Staten island,VNB W-SIE W SI GANTRY UPPER LEVEL - FINGERBOARD ROAD
19.26,423,Bronx,CBE W L/LE V AMSTERDAM AVE - I 95 S LOC LNS
24.23,281,Manhattan,FDR N 25th - 63rd St
54.68,102,Bronx,BRP N WATSON AVENUE - FORDHAM ROAD
55.3,71,Staten Island,SIE E RICHMOND AVENUE - WOOLEY AVENUE
28.58,251,Manhattan,BQE N Atlantic Ave - BKN Bridge Manhattan Side
54.68,117,Queens,BWB S Queens Anchorage - WSE S Exit 14 (Linden Pl)
49.7,132,Queens,TNB S Toll Plaza - Queens Anchorage
36.66,148,Queens,QMT W Toll Plaza - Manhattan Side
55.3,161,Queens,VWE N MP4.63 (Exit 6 - Jamaica Ave) - MP6.39 (Exit 11 Jewel Ave)
47.84,145,Queens,TBB N QUEENS ANCHORAGE - BE N
40.38,93,Queens,Belt Pkwy W 182nd St - JFK Expressway
37.28,402,Brooklyn,BQE N ATLANTIC AVENUE - LEONARD STREET
50.95,215,Queens,CVE NB LIE - WILLETS PT BLVD
5.59,1489,Bronx,CBE W L/LE V AMSTERDAM AVE - I 95 S LOC LNS
26.71,458,Queens,Belt Pkwy W JFK Expressway - VWE N Jamaica Ave
60.27,82,Staten Island,WSE N BLOOMUINGDALE ROAD - ARDEN AVENUE
