SPEED,TRAVEL_TIME,BOROUGH,LINK_NAME
48.46,58,Staten Island,WSE S SOUTH AVENUE - VICTORY BOULEVARD
60.27,130,Staten Island,WSE S VICTORY BOULEVARD - ARDEN AVENUE
46.6,217,Manhattan,FDR N Catherine Slip - 25th St
44.11,88,Queens,LIE WB LITTLE NECK PKWY - NB CIP
49.7,237,Queens,CIP N LIE ramp - TNB
41.63,170,Manhattan,BBT W Toll Plaza - Manhattan Portal
29.82,228,Manhattan,FDR S 63rd - 25th St
41.63,200,Bronx,CBE W U/LEV AMSTERDAM AVE - I95 S EXP LNS
0.0,0,Staten Island,ROUTE 169 S - MLK WALKER STREET
33.55,63,Brooklyn,GOW S VNB W 92ND STREET - BKLYN GANTRY UPPER LEVEL
6.83,612,Bronx,CBE W MORRIS AVE - GWB W AMSTERDAM AVE (L/LVL)
57.78,89,Staten Island,WSE S ARDEN AVENUE - BLOOMINGDALE ROAD
30.44,263,Queens,TBB N QUEENS ANCHORAGE - MANHATTAN LIFT SPAN
62.13,112,Staten Island,SIE W - WSE S SOUTH AVENUE - SOUTH AVENUE
48.46,45,Queens,CIP N ramp to TNB - TNB Queens Anchorage
57.78,43,Bronx,CBE W CASTLE HILL AVENUE - TAYLOR AVENUE
47.22,45,Brooklyn,GOW S VNB W 92ND STREET - BKLYN GANTRY UPPER LEVEL
29.2,81,Manhattan,TBB W - FDR S MANHATTAN TRUSS - E116TH STREET
59.65,132,Staten Island,WSE S VICTORY BOULEVARD - ARDEN AVENUE
50.95,109,Staten Island,SIE E CLOVE ROAD - FINGERBOARD ROAD
24.85,384,Queens,LIE WB LITTLE NECK PKWY - NB CVE
14.91,430,Manhattan,12th ave @ 45th - 11 ave ganservoort st
45.36,62,Staten Island,WSE S SOUTH AVENUE - VICTORY BOULEVARD
0.0,0,Brooklyn,GOW N 9TH STREET - ATLANTIC AVENUE
41.01,224,Queens,Laurelton Pkwy S @ SSP - Belt Pkwy W 182nd St
48.46,103,Queens,LIE W 108TH ST - 84TH ST
51.57,107,Queens,Whitestone Expwy S Exit 14 (Linden Pl) - VWE S MP8.65 (Exit 13 Northern Blvd)
0.0,0,Staten Island,ROUTE 169 S - MLK WALKER STREET
34.17,160,Queens,QMT W Toll Plaza - Manhattan Side
20.5,487,Manhattan,FDR N Catherine Slip - 25th St
61.51,128,Staten Island,WSE S VICTORY BOULEVARD - ARDEN AVENUE
10.56,407,Bronx,CBE AMSTERDAM AVE (L/LVL) - MORRIS AVE
28.58,84,Manhattan,TBB W - FDR S MANHATTAN TRUSS - E116TH STREET
59.65,132,Staten Island,WSE N ARDEN AVENUE - VICTORY BLVD
41.63,214,Queens,VWE S MP6.39 (Exit 11 Jewel Ave) - MP4.63 (Exit 6 Jamaica Ave)
45.36,47,Brooklyn,VNB E-GOWANUS N BROOKLYN GANTRY LOWER LEVEL - 92ND STREET
45.36,121,Staten Island,SIE E CLOVE ROAD - FINGERBOARD ROAD
54.05,118,Queens,BWB S Queens Anchorage - WSE S Exit 14 (Linden Pl)
47.22,33,Staten Island,SIE E WOOLEY AVENUE - BRADLEY AVENUE
49.08,54,Queens,TNB S Qns Anchorage - CIP S @ TNB
