SPEED,TRAVEL_TIME,BOROUGH,LINK_NAME
16.15,129,Staten Island,VNB W-SIE W SI GANTRY LOWER LEVEL - FINGERBOARD ROAD
22.36,188,Brooklyn,GOW N 92ND STREET - 7TH AVENUE
42.87,175,Bronx,BE S Griswold - Castle Hill Avenue
52.81,119,Staten Island,WSE S BLLOMINGDALE ROAD - TYRELLAN AVENUE
2.48,1700,Bronx,MDE S HARLEM RIVER PARK - GWB W AMSTERDAM AVENUE UPPER LEVEL
51.57,83,Bronx,CBE W MORRIS AVE - GWB W AMSTERDAM AVE (L/LVL)
37.28,191,Brooklyn,BQE N LEONARD STREET - 46TH STREET
41.01,182,Bronx,BE S Griswold - Castle Hill Avenue
39.14,166,Manhattan,BBT E Manhattan Portal - Toll Plaza
20.5,262,Manhattan,11th ave n ganservoort - 12th ave @ 40th st
0.0,0,Manhattan,West St S Spring St - BBT Manhattan Portal outbound
44.73,229,Manhattan,FDR S 25th St - Catherine Slip
41.01,484,Manhattan,Westside Hwy S GWB - 57th St
9.94,774,Queens,Laurelton Pkwy N @ SSP - CIP N Hempstead Tpk
46.6,100,Brooklyn,VNB W BROOKLYN GANTRY LOWER LEVEL - SI GANTRY LOWER LEVEL
0.0,0,Manhattan,11th ave s ganservoort - west st @ spring st
0.0,0,Bronx,BRP S FORDHAM ROAD - WATSON AVENUE
14.29,287,Brooklyn,BQE S - GOW S ALTANTIC AVENUE - 9TH STREET
16.15,324,Queens,VWE N MP6.39 (Exit 11 Jewel Ave) - MP8.65 (Exit 13 Northern Blvd)
36.03,65,Manhattan,FDR N - TBB E 116TH STREET - MANHATTAN TRUSS
9.32,443,Bronx,CBE AMSTERDAM AVE (L/LVL) - MORRIS AVE
54.05,99,Queens,VWE N MP8.64 (Exit 13 Northern Blvd) - Whitestone Expwy Exit 14 (Linden Pl)
49.7,42,Brooklyn,VNB E-GOWANUS N BROOKLYN GANTRY LOWER LEVEL - 92ND STREET
51.57,86,Bronx,HRP N LAFAYETTE AVENUE - E TREMONT AVENUE
54.68,114,Staten Island,WSE S BLLOMINGDALE ROAD - TYRELLAN AVENUE
45.36,55,Bronx,HRP S Lafayette Ave - BWB S Toll Plaza
42.25,109,Brooklyn,VNB W BROOKLYN GANTRY UPPER LEVEL - SI GANTRY UPPER LEVEL
49.08,235,Queens,CIP N TNB - Whitestone Expwy S Exit 14 (Linden Pl)
62.75,62,Staten Island,SIE W WOOLEY AVENUE - RICHMOND AVENUE
57.78,131,Queens,CIP S Hempstead Tpk - Laurelton Pkwy @ SSP
44.11,69,Queens,BE S TBB EXIT RAMP - MANHATTAN LIFT SPAN
47.84,78,Queens,Belt Pkwy W 182nd St - JFK Expressway
