SPEED,TRAVEL_TIME,BOROUGH,LINK_NAME
45.36,26,Staten Island,ROUTE 169 S - MLK WALKER STREET
43.49,157,Manhattan,FDR S 63rd - 25th St
26.72,271,Manhattan,GWB E LOWER LEVEL PLAZA - CBE E LOWER LEVEL AMSTERDAM AVE
54.06,140,Staten Island,WSE N TYRELLAN AVENUE - BLOOMINGDALE ROAD
44.12,106,Queens,BWB N Queens Anchorage - Toll Plaza
60.27,78,Bronx,BE N STRATFORD AVENUE - CASTLE HILL AVE
55.92,132,Manhattan,GWB E LOWER LEVEL PLAZA - CBE E LOWER LEVEL AMSTERDAM AVE
18.02,238,Bronx,BE S CASTLE HILL AVENUE - STRATFORD AVENUE
11.18,207,Queens,CIP N ramp to TNB - TNB Queens Anchorage
6.21,924,Bronx,MDE N RFK Bridge - 142nd St
13.05,360,Queens,LIE E 84TH ST - 108TH ST
14.91,403,Queens,TBB N QUEENS ANCHORAGE - BE N
32.93,249,Bronx,CBE E CASTLE HILL AVE - BE N WATERBURY AVE
8.08,482,Bronx,CBE AMSTERDAM AVE (L/LVL) - MORRIS AVE
21.13,234,Queens,LIE E 84TH ST - 108TH ST
54.06,80,Brooklyn,GOW S 7TH AVENUE - 92ND STREET
9.94,408,Bronx,CBE W MORRIS AVE - GWB W AMSTERDAM AVE (L/LVL)
29.2,182,Manhattan,QMT E Manhattan Side - Toll Plaza
3.73,819,Manhattan,11th ave s ganservoort - west st @ spring st
42.87,97,Queens,Whitestone Expwy S Exit 14 (Linden Pl) - VWE S MP8.65 (Exit 13 Northern Blvd)
24.85,103,Manhattan,FDR S Catherine Slip - BKN Bridge Manhattan Side
37.9,275,Queens,CVE NB LIE - WILLETS PT BLVD
8.7,597,Manhattan,LINCOLN TUNNEL E SOUTH TUBE - NJ - NY
41.01,222,Queens,Laurelton Pkwy S @ SSP - Belt Pkwy W 182nd St
32.93,71,Manhattan,FDR N - TBB E 116TH STREET - MANHATTAN TRUSS
14.91,421,Manhattan,12th ave @ 45th - 11 ave ganservoort st
16.78,326,Manhattan,West St S Spring St - BBT Manhattan Portal outbound
21.75,221,Queens,LIE E 84TH ST - 108TH ST
49.71,85,Brooklyn,GOW N 92ND STREET - 7TH AVENUE
37.9,132,Manhattan,LINCOLN TUNNEL W NORTH TUBE NY - NJ
49.09,44,Brooklyn,VNB E-GOWANUS N BROOKLYN GANTRY LOWER LEVEL - 92ND STREET
59.03,152,Bronx,CBE E CASTLE HILL AVE - BE N WATERBURY AVE
49.71,150,Bronx,BE N Castle Hill Avenue - Griswold Ave
13.05,371,Bronx,BE S CASTLE HILL AVENUE - STRATFORD AVENUE
60.89,76,Bronx,BE N STRATFORD AVENUE - CASTLE HILL AVE
39.77,187,Queens,CIP S Hempstead Tpk - Laurelton Pkwy @ SSP
14.91,165,Manhattan,BKN Bridge Manhattan Side - FDR N Catherine Slip
14.29,332,Brooklyn,VNB W BROOKLYN GANTRY UPPER LEVEL - SI GANTRY UPPER LEVEL
47.22,144,Queens,BWB S Queens Anchorage - WSE S Exit 14 (Linden Pl)
26.72,250,Manhattan,FDR S 63rd - 25th St
8.7,648,Manhattan,12th ave @ 45th - 11 ave ganservoort st
42.87,104,Bronx,BRP N WATSON AVENUE - FORDHAM ROAD
8.08,839,Brooklyn,BQE N LEONARD STREET - 46TH STREET
44.74,102,Brooklyn,VNB E SI GANTRY LOWER LEVEL - BROOLKYN GANTRY LOWER LEVEL
52.2,118,Queens,VWE S MP8.65 (Exit 13 Northern Blvd) - MP6.39 (Exit 11 Jewel Ave)
41.01,92,Queens,Belt Pkwy W 182nd St - JFK Expressway
47.85,75,Bronx,HRP N LAFAYETTE AVENUE - E TREMONT AVENUE
52.82,191,Manhattan,FDR S 25th St - Catherine Slip
57.79,282,Queens,CVE NB GCP - WILLETS PT BLVD
52.2,9,Queens,BWB S Queens Anchorage - WSE S Exit 14 (Linden Pl)
31.69,228,Manhattan,GWB E LOWER LEVEL PLAZA - CBE E LOWER LEVEL AMSTERDAM AVE
24.23,136,Manhattan,11th ave s ganservoort - west st @ spring st
8.08,780,Queens,TBB N QUEENS ANCHORAGE - BE N
1.86,1525,Staten Island,MLK S - SIE W WALKER STREET - RICHMOND AVENUE
14.91,850,Manhattan,BQE N Atlantic Ave - BKN Bridge Manhattan Side
31.07,222,Queens,TNB S Toll Plaza - Queens Anchorage
21.75,105,Queens,VWE S MP8.65 (Exit 13 Northern Blvd) - MP6.39 (Exit 11 Jewel Ave)
55.92,134,Bronx,BE N Castle Hill Avenue - Griswold Ave
50.95,91,Brooklyn,VNB W BROOKLYN GANTRY LOWER LEVEL - SI GANTRY LOWER LEVEL
57.17,72,Bronx,HRP N LAFAYETTE AVENUE - E TREMONT AVENUE
54.06,225,Brooklyn,GOW N 7TH AVENUE - 9TH STREET
47.22,415,Manhattan,Westside Hwy S GWB - 57th St
27.96,247,Brooklyn,GOW N 9TH STREET - ATLANTIC AVENUE
21.13,224,Brooklyn,GOW N 9TH STREET - ATLANTIC AVENUE
54.06,51,Bronx,BWB N Toll Plaza - HRP N Lafayatte Ave
55.92,122,Queens,VWE S MP4.63 (Exit 6 Jamaica Ave) - MP2.66 (Exit 2 Roackaway Blvd)
49.71,203,Manhattan,FDR S 25th St - Catherine Slip
16.78,287,Manhattan,LINCOLN TUNNEL W NORTH TUBE NY - NJ
52.82,80,Brooklyn,BQE S - GOW S ALTANTIC AVENUE - 9TH STREET
55.3,138,Queens,CIP S Hempstead Tpk - Laurelton Pkwy @ SSP
45.98,156,Brooklyn,BQE S 46TH STREET - LEONARD STREET
45.98,86,Queens,LIE WB LITTLE NECK PKWY - NB CIP
16.78,407,Manhattan,BQE N Atlantic Ave - BKN Bridge Manhattan Side
11.81,579,Manhattan,BQE N Atlantic Ave - BKN Bridge Manhattan Side
44.74,48,Brooklyn,VNB E-GOWANUS N BROOKLYN GANTRY UPPER LEVEL - 92ND STREET
22.99,479,Brooklyn,GOW N 7TH AVENUE - 9TH STREET
9.94,199,Manhattan,FDR N Catherine Slip - 25th St
6.84,124,Bronx,BE N STRATFORD AVENUE - CASTLE HILL AVE
27.96,188,Brooklyn,GOW N 9TH STREET - ATLANTIC AVENUE
18.02,374,Queens,TNB N Queens Anchorage - Toll Plaza
8.08,1201,Manhattan,BQE N Atlantic Ave - MAN Bridge Manhattan Side
1.86,999,Bronx,CBE W CASTLE HILL AVENUE - TAYLOR AVENUE
44.74,47,Brooklyn,VNB E-GOWANUS N BROOKLYN GANTRY UPPER LEVEL - 92ND STREET
16.16,117,Staten island,VNB W-SIE W SI GANTRY UPPER LEVEL - FINGERBOARD ROAD
22.99,858,Manhattan,Westside Hwy N 57th St - GWB
9.94,553,Manhattan,LINCOLN TUNNEL E CENTER TUBE NJ - NY
29.83,180,Manhattan,QMT E Manhattan Side - Toll Plaza
22.99,102,Manhattan,FDR N - TBB E 116TH STREET - MANHATTAN TRUSS
16.16,196,Brooklyn,GOW N 9TH STREET - ATLANTIC AVENUE
42.25,213,Queens,VWE N MP4.63 (Exit 6 - Jamaica Ave) - MP6.39 (Exit 11 Jewel Ave)
34.8,253,Queens,VWE N MP4.63 (Exit 6 - Jamaica Ave) - MP6.39 (Exit 11 Jewel Ave)
18.02,343,Manhattan,12th ave @ 45th - 11 ave ganservoort st
42.87,291,Brooklyn,GOW S 9TH STREET - 7TH AVENUE
42.87,160,Manhattan,FDR N 25th - 63rd St
8.08,442,Queens,LIE WB LITTLE NECK PKWY - NB CIP
45.98,193,Queens,VWE S MP6.39 (Exit 11 Jewel Ave) - MP4.63 (Exit 6 Jamaica Ave)
16.16,435,Brooklyn,BQE N LEONARD STREET - 46TH STREET
26.72,193,Brooklyn,GOW N 9TH STREET - ATLANTIC AVENUE
49.71,219,Queens,CIP N Hempstead Tpk - LIE
3.73,964,Staten Island,MLK S - SIE W WALKER STREET - RICHMOND AVENUE
14.29,142,Staten Island,SIE W BRADLEY AVENUE - WOOLEY AVENUE
50.95,43,Brooklyn,VNB E-GOWANUS N BROOKLYN GANTRY UPPER LEVEL - 92ND STREET
19.88,214,Bronx,CBE E AMSTERDAM AVE(U/LVL) - MORRIS AVE
44.74,242,Queens,CIP N Hempstead Tpk - LIE
8.08,848,Queens,TBB S MANHATTAN LIFT SPAN - QUEENS ANCHORAGE
47.85,221,Queens,BE S TBB EXIT RAMP - MANHATTAN LIFT SPAN
42.25,169,Brooklyn,BQE S 46TH STREET - LEONARD STREET
6.21,1171,Queens,TBB N QUEENS ANCHORAGE - MANHATTAN LIFT SPAN
8.08,1110,Manhattan,BQE N Atlantic Ave - MAN Bridge Manhattan Side
49.71,68,Staten Island,SIE W WOOLEY AVENUE - RICHMOND AVENUE
29.83,304,Queens,Laurelton Pkwy S @ SSP - Belt Pkwy W 182nd St
8.7,764,Brooklyn,BQE N LEONARD STREET - 46TH STREET
45.98,220,Manhattan,FDR N Catherine Slip - 25th St
6.84,274,Staten Island,SIE E VNB E FINGERBOARD ROAD - SI GANTRY LOWER LEVEL
26.1,259,Queens,VWE S MP4.63 (Exit 6 Jamaica Ave) - MP2.66 (Exit 2 Roackaway Blvd)
55.3,133,Manhattan,GWB E LOWER LEVEL PLAZA - CBE E LOWER LEVEL AMSTERDAM AVE
19.88,228,Brooklyn,VNB E SI GANTRY UPPER LEVEL - BROOKLYN GANTRY UPPER LEVEL
41.01,292,Brooklyn,GOW S 9TH STREET - 7TH AVENUE
49.09,46,Queens,CIP N ramp to TNB - TNB Queens Anchorage
42.25,193,Queens,TBB N QUEENS ANCHORAGE - MANHATTAN LIFT SPAN
32.93,161,Manhattan,QMT E Manhattan Side - Toll Plaza
44.74,31,Staten Island,SIE W BRADLEY AVENUE - WOOLEY AVENUE
16.78,455,Staten Island,WSE N TYRELLAN AVENUE - BLOOMINGDALE ROAD
41.01,180,Queens,TBB S MANHATTAN LIFT SPAN - QUEENS ANCHORAGE
11.18,817,Manhattan,BQE N Atlantic Ave - MAN Bridge Manhattan Side
37.28,64,Manhattan,FDR N - TBB E 116TH STREET - MANHATTAN TRUSS
55.92,136,Queens,CIP S Hempstead Tpk - Laurelton Pkwy @ SSP
42.25,94,Queens,LIE WB LITTLE NECK PKWY - NB CIP
44.74,48,Brooklyn,GOW S VNB W 92ND STREET - BKLYN GANTRY LOWER LEVEL
34.8,124,Bronx,MDE S HARLEM RIVER PARK - GWB W AMSTERDAM AVENUE UPPER LEVEL
47.22,145,Queens,VWE S MP4.63 (Exit 6 Jamaica Ave) - MP2.66 (Exit 2 Roackaway Blvd)
37.9,213,Queens,TBB N QUEENS ANCHORAGE - MANHATTAN LIFT SPAN
8.08,848,Queens,VWE N MP8.64 (Exit 13 Northern Blvd) - Whitestone Expwy Exit 14 (Linden Pl)
47.22,60,Staten Island,WSE N VICTORY BLVD - SOUTH AVENUE
31.69,80,Manhattan,BKN Bridge Manhattan Side - FDR N Catherine Slip
