SPEED,TRAVEL_TIME,BOROUGH,LINK_NAME
57.16,87,Queens,LIE W 108TH ST - 84TH ST
30.44,141,Bronx,CBE AMSTERDAM AVE (L/LVL) - MORRIS AVE
22.36,315,Brooklyn,BQE N LEONARD STREET - 46TH STREET
37.9,251,Queens,LIE WB LITTLE NECK PKWY - NB CVE
18.64,271,Bronx,MDE N RFK Bridge - 142nd St
18.01,167,Queens,BE S TBB EXIT RAMP - MANHATTAN LIFT SPAN
62.13,52,Staten Island,WSE N VICTORY BLVD - SOUTH AVENUE
1.86,3609,Bronx,CBE W L/LE V AMSTERDAM AVE - I 95 S LOC LNS
24.85,103,Manhattan,BKN Bridge Manhattan Side - FDR N Catherine Slip
53.43,144,Staten Island,WSE S TYRELLAN AVENUE - 440 S FRANCIS STREET
14.91,219,Manhattan,12th Ave N 40th - 57th St
24.23,295,Brooklyn,BQE N LEONARD STREET - 46TH STREET
52.19,143,Staten Island,WSE N TYRELLAN AVENUE - BLOOMINGDALE ROAD
0.0,0,Manhattan,West St S Spring St - BBT Manhattan Portal outbound
55.92,109,Staten Island,WSE N-SIE E SOUTH AVENUE - SOUTH AVENUE
47.22,53,Bronx,BWB N Toll Plaza - HRP N Lafayatte Ave
45.98,34,Staten Island,SIE E WOOLEY AVENUE - BRADLEY AVENUE
54.68,117,Queens,BWB S Queens Anchorage - WSE S Exit 14 (Linden Pl)
31.68,344,Queens,CIP S LIE - Hempstead Tpk
10.56,601,Manhattan,12th ave @ 45th - 11 ave ganservoort st
16.77,325,Manhattan,LINCOLN TUNNEL E CENTER TUBE NJ - NY
50.95,87,Bronx,HRP N LAFAYETTE AVENUE - E TREMONT AVENUE
0.0,0,Staten Island,ROUTE 169 S - MLK WALKER STREET
0.0,0,Staten Island,SIE E-MLK N RICHMOND AVENUE - WALKER STREET
41.63,57,Manhattan,FDR N - TBB E 116TH STREET - MANHATTAN TRUSS
8.07,266,Manhattan,12th Ave S 57th St - 45th St
53.43,80,Bronx,CBE E AMSTERDAM AVE(U/LVL) - MORRIS AVE
57.78,189,Queens,CIP N Hempstead Tpk - LIE
63.37,82,Staten Island,WSE S ARDEN AVENUE - BLOOMINGDALE ROAD
54.68,167,Queens,Laurelton Pkwy S @ SSP - Belt Pkwy W 182nd St
14.29,301,Bronx,CBE W MORRIS AVE - GWB W AMSTERDAM AVE (U/LVL)
48.46,81,Staten Island,SIE E RICHMOND AVENUE - WOOLEY AVENUE
61.51,84,Staten Island,WSE S ARDEN AVENUE - BLOOMINGDALE ROAD
