SPEED,TRAVEL_TIME,BOROUGH,LINK_NAME
41.63,157,Queens,TNB S Toll Plaza - Queens Anchorage
39.76,58,Staten Island,SIE E VNB E FINGERBOARD ROAD - SI GANTRY LOWER LEVEL
1.24,4471,Manhattan,LINCOLN TUNNEL E CENTER TUBE NJ - NY
9.32,244,Manhattan,12th Ave S 57th St - 45th St
55.92,79,Bronx,BE S CASTLE HILL AVENUE - STRATFORD AVENUE
0.0,0,Bronx,I-87 NYST S Exit 1 - MDE S Van Cortlandt Park
10.56,701,Manhattan,GWB E LOWER LEVEL PLAZA - CBE E LOWER LEVEL AMSTERDAM AVE
21.74,110,Manhattan,TBB W - FDR S MANHATTAN TRUSS - E116TH STREET
51.57,107,Queens,Whitestone Expwy S Exit 14 (Linden Pl) - VWE S MP8.65 (Exit 13 Northern Blvd)
54.05,92,Staten Island,WSE N BLOOMUINGDALE ROAD - ARDEN AVENUE
48.46,110,Queens,VWE S MP8.65 (Exit 13 Northern Blvd) - MP6.39 (Exit 11 Jewel Ave)
22.36,351,Queens,Laurelton Pkwy N @ SSP - CIP N Hempstead Tpk
38.52,182,Manhattan,BBT W Toll Plaza - Manhattan Portal
47.22,136,Queens,BWB S Queens Anchorage - WSE S Exit 14 (Linden Pl)
49.7,206,Manhattan,FDR S 25th St - Catherine Slip
53.43,133,Brooklyn,BQE N LEONARD STREET - 46TH STREET
16.15,367,Staten Island,SIE W FINGERBOARD ROAD - CLOVE ROAD
19.26,208,Brooklyn,GOW N 9TH STREET - ATLANTIC AVENUE
45.98,50,Staten Island,SIE E VNB E FINGERBOARD ROAD - SI GANTRY UPPER LEVEL
22.36,247,Bronx,BRP S FORDHAM ROAD - WATSON AVENUE
20.5,242,Staten Island,WSE N BLOOMUINGDALE ROAD - ARDEN AVENUE
53.43,50,Staten Island,SIE E SOUTH AVENUE - RICHMOND AVENUE
36.03,212,Staten Island,WSE S TYRELLAN AVENUE - 440 S FRANCIS STREET
47.22,91,Queens,BWB N Queens Anchorage - Toll Plaza
54.68,141,Staten Island,WSE S TYRELLAN AVENUE - 440 S FRANCIS STREET
26.71,312,Bronx,CBE W U/LEV AMSTERDAM AVE - I95 S EXP LNS
57.16,78,Bronx,BE S CASTLE HILL AVENUE - STRATFORD AVENUE
55.92,108,Staten Island,WSE N-SIE E SOUTH AVENUE - SOUTH AVENUE
42.87,150,Queens,Whitestone Expwy N Exit 14 (Linden Pl) - BWB N Queens Anchorage
45.98,142,Queens,TNB N Queens Anchorage - Toll Plaza
21.12,386,Bronx,CBE W U/LEV AMSTERDAM AVE - I95 S EXP LNS
15.53,412,Manhattan,12th ave @ 45th - 11 ave ganservoort st
10.56,650,Manhattan,FDR N 25th - 63rd St
19.26,461,Queens,VWE N MP4.63 (Exit 6 - Jamaica Ave) - MP6.39 (Exit 11 Jewel Ave)
53.43,205,Queens,CIP S LIE - Hempstead Tpk
45.36,94,Bronx,CBE AMSTERDAM AVE (L/LVL) - MORRIS AVE
53.43,215,Queens,CIP N TNB - Whitestone Expwy S Exit 14 (Linden Pl)
26.71,407,Queens,VWE S MP2.66 (Exit 2 Rockaway Blvd) - Belt Pkwy E 182nd St
47.84,107,Bronx,MDE N RFK Bridge - 142nd St
21.74,252,Bronx,BRP S FORDHAM ROAD - WATSON AVENUE
39.76,171,Manhattan,FDR S 63rd - 25th St
0.0,0,Manhattan,West St S Spring St - BBT Manhattan Portal outbound
16.77,254,Bronx,MDE S HARLEM RIVER PARK - GWB W AMSTERDAM AVENUE UPPER LEVEL
45.36,51,Staten Island,SIE E VNB E FINGERBOARD ROAD - SI GANTRY UPPER LEVEL
6.83,587,Bronx,CBE W MORRIS AVE - GWB W AMSTERDAM AVE (L/LVL)
57.16,106,Staten Island,WSE N-SIE E SOUTH AVENUE - SOUTH AVENUE
37.9,187,Manhattan,BBT W Toll Plaza - Manhattan Portal
48.46,135,Staten Island,SIE E BRADLEY AVENUE - CLOVE ROAD
5.59,925,Staten Island,MLK N WALKER STREET - NJ ROUTE 169
41.63,181,Queens,TBB S MANHATTAN LIFT SPAN - QUEENS ANCHORAGE
50.95,189,Queens,LIE WB LITTLE NECK PKWY - NB CVE
62.13,51,Staten Island,WSE N VICTORY BLVD - SOUTH AVENUE
61.51,113,Staten Island,SIE W - WSE S SOUTH AVENUE - SOUTH AVENUE
17.39,186,Manhattan,12th Ave N 40th - 57th St
58.4,85,Queens,LIE W 108TH ST - 84TH ST
42.25,106,Bronx,BE S CASTLE HILL AVENUE - STRATFORD AVENUE
50.33,149,Staten Island,SIE W - MLK N WOOLEY AVENUE - WLAKER STREET
13.04,165,Staten Island,VNB W-SIE W SI GANTRY LOWER LEVEL - FINGERBOARD ROAD
44.73,147,Queens,TNB S Toll Plaza - Queens Anchorage
13.04,385,Bronx,MDE N RFK Bridge - 142nd St
57.78,158,Queens,Belt Pkwy E 182nd St - Laurelton Pkwy N @ SSP
6.21,689,Bronx,CBE W MORRIS AVE - GWB W AMSTERDAM AVE (U/LVL)
34.17,147,Queens,LIE E 84TH ST - 108TH ST
19.88,347,Queens,BE S TBB EXIT RAMP - QUEENS ANCHORAGE
0.0,0,Manhattan,11th ave s ganservoort - west st @ spring st
10.56,235,Bronx,CBE W CASTLE HILL AVENUE - TAYLOR AVENUE
41.01,134,Bronx,BRP S FORDHAM ROAD - WATSON AVENUE
45.98,50,Staten Island,SIE E VNB E FINGERBOARD ROAD - SI GANTRY UPPER LEVEL
13.04,381,Queens,LIE E 84TH ST - 108TH ST
16.77,254,Bronx,CBE AMSTERDAM AVE (L/LVL) - MORRIS AVE
48.46,135,Queens,TNB N Queens Anchorage - Toll Plaza
44.11,48,Brooklyn,GOW S VNB W 92ND STREET - BKLYN GANTRY LOWER LEVEL
22.36,285,Queens,Whitestone Expwy N Exit 14 (Linden Pl) - BWB N Queens Anchorage
0.0,0,Queens,Laurelton Pkwy N @ SSP - CIP N Hempstead Tpk
56.54,116,Staten Island,SIE E BRADLEY AVENUE - CLOVE ROAD
44.73,181,Queens,TBB N QUEENS ANCHORAGE - MANHATTAN LIFT SPAN
49.08,102,Queens,LIE E 84TH ST - 108TH ST
12.42,444,Bronx,BRP N WATSON AVENUE - FORDHAM ROAD
57.78,80,Brooklyn,VNB E SI GANTRY LOWER LEVEL - BROOLKYN GANTRY LOWER LEVEL
61.51,128,Staten Island,WSE N ARDEN AVENUE - VICTORY BLVD
43.49,90,Queens,LIE WB LITTLE NECK PKWY - NB CIP
0.0,0,Manhattan,Westside Hwy N 57th St - GWB
45.98,151,Queens,BE S TBB EXIT RAMP - QUEENS ANCHORAGE
45.98,85,Staten Island,SIE W WOOLEY AVENUE - RICHMOND AVENUE
60.89,128,Staten Island,WSE N ARDEN AVENUE - VICTORY BLVD
14.91,261,Staten Island,SIE E RICHMOND AVENUE - WOOLEY AVENUE
1.24,4208,Manhattan,LINCOLN TUNNEL E CENTER TUBE NJ - NY
58.4,135,Staten Island,WSE N ARDEN AVENUE - VICTORY BLVD
47.22,159,Queens,CIP S Hempstead Tpk - Laurelton Pkwy @ SSP
18.01,124,Manhattan,12th Ave S 57th St - 45th St
18.64,672,Brooklyn,GOW N 7TH AVENUE - 9TH STREET
0.0,0,Manhattan,11th ave s ganservoort - west st @ spring st
27.96,265,Bronx,BE N Castle Hill Avenue - Griswold Ave
52.19,120,Staten Island,WSE S BLLOMINGDALE ROAD - TYRELLAN AVENUE
49.7,107,Staten Island,MLK S - SIE W WALKER STREET - RICHMOND AVENUE
44.73,60,Queens,TNB S Qns Anchorage - CIP S @ TNB
58.4,95,Bronx,BRP N WATSON AVENUE - FORDHAM ROAD
15.53,353,Bronx,BRP S FORDHAM ROAD - WATSON AVENUE
7.45,1086,Bronx,CBE W L/LE V AMSTERDAM AVE - I 95 S LOC LNS
45.36,47,Brooklyn,VNB E-GOWANUS N BROOKLYN GANTRY UPPER LEVEL - 92ND STREET
2.48,1671,Manhattan,LINCOLN TUNNEL W NORTH TUBE NY - NJ
7.45,709,Staten Island,MLK N WALKER STREET - NJ ROUTE 169
9.32,719,Queens,TBB N QUEENS ANCHORAGE - BE N
36.03,214,Staten Island,440 N FRANCIS STREET - WSE N TYRELLAN AVE
24.23,104,Bronx,CBE W CASTLE HILL AVENUE - TAYLOR AVENUE
7.45,290,Staten Island,SIE E VNB E FINGERBOARD ROAD - SI GANTRY UPPER LEVEL
16.15,250,Brooklyn,BQE S - GOW S ALTANTIC AVENUE - 9TH STREET
50.33,152,Staten Island,440 N FRANCIS STREET - WSE N TYRELLAN AVE
18.01,134,Manhattan,TBB W - FDR S MANHATTAN TRUSS - E116TH STREET
16.15,627,Manhattan,FDR N Catherine Slip - 25th St
62.13,63,Staten Island,SIE W WOOLEY AVENUE - RICHMOND AVENUE
44.11,48,Staten island,VNB W-SIE W SI GANTRY UPPER LEVEL - FINGERBOARD ROAD
60.27,152,Queens,Laurelton Pkwy S @ SSP - Belt Pkwy W 182nd St
45.98,50,Staten Island,SIE E VNB E FINGERBOARD ROAD - SI GANTRY UPPER LEVEL
42.87,128,Bronx,BRP S FORDHAM ROAD - WATSON AVENUE
55.92,89,Staten Island,WSE N BLOOMUINGDALE ROAD - ARDEN AVENUE
29.2,234,Queens,VWE S MP4.63 (Exit 6 Jamaica Ave) - MP2.66 (Exit 2 Roackaway Blvd)
41.01,56,Staten Island,SIE E VNB E FINGERBOARD ROAD - SI GANTRY LOWER LEVEL
19.26,240,Brooklyn,VNB W BROOKLYN GANTRY LOWER LEVEL - SI GANTRY LOWER LEVEL
27.96,153,Bronx,CBE W MORRIS AVE - GWB W AMSTERDAM AVE (L/LVL)
33.55,207,Queens,BE S TBB EXIT RAMP - QUEENS ANCHORAGE
50.33,85,Brooklyn,GOW N 92ND STREET - 7TH AVENUE
15.53,133,Staten Island,VNB W-SIE W SI GANTRY LOWER LEVEL - FINGERBOARD ROAD
21.74,501,Queens,CIP N Hempstead Tpk - LIE
44.11,48,Staten island,VNB W-SIE W SI GANTRY UPPER LEVEL - FINGERBOARD ROAD
60.27,65,Staten Island,SIE E RICHMOND AVENUE - WOOLEY AVENUE
44.11,48,Brooklyn,GOW S VNB W 92ND STREET - BKLYN GANTRY LOWER LEVEL
11.18,1081,Queens,Belt Pkwy W JFK Expressway - VWE N Jamaica Ave
49.7,220,Queens,CVE NB LIE - WILLETS PT BLVD
57.16,46,Staten Island,SIE E SOUTH AVENUE - RICHMOND AVENUE
0.0,0,Manhattan,11th ave s ganservoort - west st @ spring st
45.36,113,Bronx,MDE N RFK Bridge - 142nd St
9.32,1123,Queens,CIP N Hempstead Tpk - LIE
38.52,55,Staten Island,VNB W-SIE W SI GANTRY LOWER LEVEL - FINGERBOARD ROAD
27.34,180,Staten Island,WSE N BLOOMUINGDALE ROAD - ARDEN AVENUE
16.15,248,Brooklyn,BQE S - GOW S ALTANTIC AVENUE - 9TH STREET
37.28,191,Manhattan,BBT E Manhattan Portal - Toll Plaza
0.0,0,Staten Island,ROUTE 169 S - MLK WALKER STREET
52.81,74,Queens,LIE WB LITTLE NECK PKWY - NB CIP
34.79,157,Manhattan,QMT E Manhattan Side - Toll Plaza
59.65,54,Staten Island,WSE N VICTORY BLVD - SOUTH AVENUE
42.25,101,Bronx,CBE W MORRIS AVE - GWB W AMSTERDAM AVE (L/LVL)
52.19,106,Staten Island,SIE E CLOVE ROAD - FINGERBOARD ROAD
30.44,140,Bronx,CBE E AMSTERDAM AVE(U/LVL) - MORRIS AVE
60.27,83,Staten Island,WSE N BLOOMUINGDALE ROAD - ARDEN AVENUE
44.73,147,Queens,TNB N Queens Anchorage - Toll Plaza
49.7,142,Staten Island,SIE E-MLK N RICHMOND AVENUE - WALKER STREET
51.57,146,Staten Island,SIE W - MLK N WOOLEY AVENUE - WLAKER STREET
57.16,137,Staten Island,WSE N ARDEN AVENUE - VICTORY BLVD
59.65,75,Bronx,HRP N LAFAYETTE AVENUE - E TREMONT AVENUE
47.84,131,Staten Island,WSE S BLLOMINGDALE ROAD - TYRELLAN AVENUE
0.0,0,Manhattan,GWB E LOWER LEVEL PLAZA - CBE E LOWER LEVEL AMSTERDAM AVE
46.6,271,Brooklyn,GOW S 9TH STREET - 7TH AVENUE
