SPEED,TRAVEL_TIME,BOROUGH,LINK_NAME
31.06,527,Queens,CVE NB GCP - WILLETS PT BLVD
8.69,286,Manhattan,FDR S Catherine Slip - BKN Bridge Manhattan Side
9.32,238,Manhattan,12th Ave S 57th St - 45th St
62.13,266,Queens,CVE NB GCP - WILLETS PT BLVD
47.84,133,Queens,BWB S Queens Anchorage - WSE S Exit 14 (Linden Pl)
55.3,292,Queens,CIP NB GCP - TNB
3.72,1329,Manhattan,LINCOLN TUNNEL W CENTER TUBE NY - NJ
3.72,1081,Bronx,CBE E AMSTERDAM AVE(U/LVL) - MORRIS AVE
54.68,152,Bronx,CBE E CASTLE HILL AVE - BE N WATERBURY AVE
9.32,435,Bronx,CBE W MORRIS AVE - GWB W AMSTERDAM AVE (L/LVL)
6.83,450,Manhattan,11th ave s ganservoort - west st @ spring st
52.19,102,Queens,VWE N MP8.64 (Exit 13 Northern Blvd) - Whitestone Expwy Exit 14 (Linden Pl)
0.0,0,Manhattan,West St S Spring St - BBT Manhattan Portal outbound
55.92,195,Queens,CIP S LIE - Hempstead Tpk
34.79,215,Queens,TBB S MANHATTAN LIFT SPAN - QUEENS ANCHORAGE
62.13,80,Queens,LIE E 84TH ST - 108TH ST
44.73,143,Queens,BWB S Queens Anchorage - WSE S Exit 14 (Linden Pl)
0.0,0,Manhattan,LINCOLN TUNNEL E CENTER TUBE NJ - NY
55.3,71,Staten Island,SIE E RICHMOND AVENUE - WOOLEY AVENUE
0.0,0,Queens,BE S TBB EXIT RAMP - QUEENS ANCHORAGE
36.66,151,Manhattan,LINCOLN TUNNEL E SOUTH TUBE - NJ - NY
55.3,150,Bronx,CBE E CASTLE HILL AVE - BE N WATERBURY AVE
54.68,101,Staten Island,SIE E CLOVE ROAD - FINGERBOARD ROAD
44.73,104,Brooklyn,VNB W BROOKLYN GANTRY UPPER LEVEL - SI GANTRY UPPER LEVEL
0.0,0,Queens,CIP N Hempstead Tpk - LIE
44.11,48,Brooklyn,VNB E-GOWANUS N BROOKLYN GANTRY LOWER LEVEL - 92ND STREET
25.47,160,Brooklyn,GOW N 9TH STREET - ATLANTIC AVENUE
21.74,491,Queens,VWE S MP2.66 (Exit 2 Rockaway Blvd) - Belt Pkwy E 182nd St
0.0,0,Manhattan,FDR N 25th - 63rd St
58.4,104,Staten Island,WSE N-SIE E SOUTH AVENUE - SOUTH AVENUE
22.36,313,Brooklyn,BQE N LEONARD STREET - 46TH STREET
33.55,234,Staten Island,WSE S VICTORY BOULEVARD - ARDEN AVENUE
40.38,133,Queens,VWE N MP8.64 (Exit 13 Northern Blvd) - Whitestone Expwy Exit 14 (Linden Pl)
32.31,164,Manhattan,QMT E Manhattan Side - Toll Plaza
33.55,77,Manhattan,BKN Bridge Manhattan Side - FDR N Catherine Slip
47.84,155,Bronx,BE N Castle Hill Avenue - Griswold Ave
14.29,389,Manhattan,LINCOLN TUNNEL E SOUTH TUBE - NJ - NY
17.39,252,Bronx,MDE S HARLEM RIVER PARK - GWB W AMSTERDAM AVENUE LOWER LEVEL
0.0,0,Staten Island,MLK N WALKER STREET - NJ ROUTE 169
0.0,0,Manhattan,BKN Bridge Manhattan Side - FDR N Catherine Slip
45.36,196,Queens,VWE N MP4.63 (Exit 6 - Jamaica Ave) - MP6.39 (Exit 11 Jewel Ave)
36.03,148,Manhattan,QMT E Manhattan Side - Toll Plaza
21.12,112,Manhattan,FDR N - TBB E 116TH STREET - MANHATTAN TRUSS
34.79,215,Bronx,BE S Griswold - Castle Hill Avenue
41.63,51,Brooklyn,VNB E-GOWANUS N BROOKLYN GANTRY UPPER LEVEL - 92ND STREET
52.81,101,Queens,VWE N MP6.39 (Exit 11 Jewel Ave) - MP8.65 (Exit 13 Northern Blvd)
24.23,279,Queens,VWE S MP4.63 (Exit 6 Jamaica Ave) - MP2.66 (Exit 2 Roackaway Blvd)
49.08,94,Queens,BWB N Queens Anchorage - Toll Plaza
49.7,144,Brooklyn,BQE S 46TH STREET - LEONARD STREET
0.0,0,Staten Island,ROUTE 169 S - MLK WALKER STREET
53.43,50,Staten Island,SIE E SOUTH AVENUE - RICHMOND AVENUE
60.27,130,Staten Island,WSE S VICTORY BOULEVARD - ARDEN AVENUE
46.6,91,Brooklyn,GOW N 92ND STREET - 7TH AVENUE
42.87,94,Brooklyn,GOW N 9TH STREET - ATLANTIC AVENUE
2.48,3266,Bronx,CBE W L/LE V AMSTERDAM AVE - I 95 S LOC LNS
30.44,362,Queens,CIP N Hempstead Tpk - LIE
45.36,166,Queens,TBB S MANHATTAN LIFT SPAN - QUEENS ANCHORAGE
39.14,141,Manhattan,LINCOLN TUNNEL E SOUTH TUBE - NJ - NY
40.38,169,Manhattan,FDR S 63rd - 25th St
49.7,57,Staten Island,WSE S SOUTH AVENUE - VICTORY BOULEVARD
0.0,0,Staten Island,SIE W - MLK N WOOLEY AVENUE - WLAKER STREET
47.22,90,Bronx,CBE W MORRIS AVE - GWB W AMSTERDAM AVE (U/LVL)
42.25,177,Queens,TBB S MANHATTAN LIFT SPAN - QUEENS ANCHORAGE
59.65,98,Staten Island,SIE W FINGERBOARD ROAD - CLOVE ROAD
57.16,87,Staten Island,WSE N BLOOMUINGDALE ROAD - ARDEN AVENUE
19.26,207,Brooklyn,BQE S - GOW S ALTANTIC AVENUE - 9TH STREET
47.22,45,Brooklyn,GOW S VNB W 92ND STREET - BKLYN GANTRY LOWER LEVEL
0.0,0,Manhattan,FDR S Catherine Slip - BKN Bridge Manhattan Side
45.36,166,Queens,CIP S Hempstead Tpk - Laurelton Pkwy @ SSP
59.03,54,Staten Island,WSE N VICTORY BLVD - SOUTH AVENUE
52.81,145,Staten Island,WSE S TYRELLAN AVENUE - 440 S FRANCIS STREET
44.11,96,Bronx,CBE W MORRIS AVE - GWB W AMSTERDAM AVE (L/LVL)
52.19,102,Queens,VWE S MP8.65 (Exit 13 Northern Blvd) - MP6.39 (Exit 11 Jewel Ave)
0.0,0,Staten Island,MLK S - SIE W WALKER STREET - RICHMOND AVENUE
39.76,58,Staten Island,SIE E VNB E FINGERBOARD ROAD - SI GANTRY LOWER LEVEL
52.19,122,Queens,Whitestone Expwy N Exit 14 (Linden Pl) - BWB N Queens Anchorage
48.46,224,Queens,CVE NB LIE - WILLETS PT BLVD
42.87,100,Bronx,CBE AMSTERDAM AVE (L/LVL) - MORRIS AVE
52.19,122,Queens,BWB S Queens Anchorage - WSE S Exit 14 (Linden Pl)
44.11,48,Staten Island,VNB W-SIE W SI GANTRY LOWER LEVEL - FINGERBOARD ROAD
45.36,224,Manhattan,FDR S 25th St - Catherine Slip
41.01,59,Manhattan,TBB W - FDR S MANHATTAN TRUSS - E116TH STREET
0.0,0,Queens,Laurelton Pkwy N @ SSP - CIP N Hempstead Tpk
50.33,106,Queens,VWE N MP6.39 (Exit 11 Jewel Ave) - MP8.65 (Exit 13 Northern Blvd)
42.87,99,Bronx,CBE W MORRIS AVE - GWB W AMSTERDAM AVE (U/LVL)
41.63,278,Queens,CIP N TNB - Whitestone Expwy S Exit 14 (Linden Pl)
52.19,102,Queens,VWE S MP8.65 (Exit 13 Northern Blvd) - MP6.39 (Exit 11 Jewel Ave)
0.0,0,Staten Island,MLK N WALKER STREET - NJ ROUTE 169
51.57,124,Queens,BWB S Queens Anchorage - WSE S Exit 14 (Linden Pl)
38.52,167,Manhattan,BBT W Toll Plaza - Manhattan Portal
47.22,53,Bronx,HRP S Lafayette Ave - BWB S Toll Plaza
0.0,0,Staten Island,MLK S - SIE E WALKER STREET - WOOLEY AVENUE
