SPEED,TRAVEL_TIME,BOROUGH,LINK_NAME
32.31,197,Queens,Whitestone Expwy N Exit 14 (Linden Pl) - BWB N Queens Anchorage
37.28,431,Queens,CIP NB GCP - TNB
52.19,102,Queens,VWE S MP8.65 (Exit 13 Northern Blvd) - MP6.39 (Exit 11 Jewel Ave)
21.12,117,Bronx,HRP S Lafayette Ave - BWB S Toll Plaza
24.23,225,Manhattan,QMT E Manhattan Side - Toll Plaza
0.0,0,Staten Island,WSE S TYRELLAN AVENUE - 440 S FRANCIS STREET
45.36,47,Brooklyn,GOW S VNB W 92ND STREET - BKLYN GANTRY LOWER LEVEL
44.73,84,Queens,Belt Pkwy W 182nd St - JFK Expressway
53.43,123,Queens,TNB N Queens Anchorage - Toll Plaza
27.34,154,Bronx,CBE W MORRIS AVE - GWB W AMSTERDAM AVE (L/LVL)
47.84,44,Brooklyn,GOW S VNB W 92ND STREET - BKLYN GANTRY LOWER LEVEL
37.28,115,Queens,BWB N Queens Anchorage - Toll Plaza
26.71,99,Queens,TNB S Qns Anchorage - CIP S @ TNB
9.32,441,Bronx,CBE AMSTERDAM AVE (L/LVL) - MORRIS AVE
4.34,1050,Manhattan,LINCOLN TUNNEL W NORTH TUBE NY - NJ
21.74,214,Brooklyn,VNB E SI GANTRY UPPER LEVEL - BROOKLYN GANTRY UPPER LEVEL
12.42,515,Manhattan,BBT E Manhattan Portal - Toll Plaza
47.84,126,Staten Island,WSE N-SIE E SOUTH AVENUE - SOUTH AVENUE
51.57,133,Manhattan,FDR S 63rd - 25th St
67.1,77,Staten Island,WSE S ARDEN AVENUE - BLOOMINGDALE ROAD
32.31,168,Manhattan,QMT E Manhattan Side - Toll Plaza
0.0,0,Bronx,MDE S HARLEM RIVER PARK - GWB W AMSTERDAM AVENUE LOWER LEVEL
0.0,0,Bronx,BRP S FORDHAM ROAD - WATSON AVENUE
52.81,141,Bronx,BE S Griswold - Castle Hill Avenue
15.53,780,Queens,Belt Pkwy W JFK Expressway - VWE N Jamaica Ave
22.36,144,Staten Island,WSE N VICTORY BLVD - SOUTH AVENUE
38.52,167,Queens,Whitestone Expwy N Exit 14 (Linden Pl) - BWB N Queens Anchorage
0.0,0,Bronx,MDE S HARLEM RIVER PARK - GWB W AMSTERDAM AVENUE UPPER LEVEL
0.0,0,Staten Island,WSE S BLLOMINGDALE ROAD - TYRELLAN AVENUE
8.69,2247,Manhattan,Westside Hwy N 57th St - GWB
49.08,51,Bronx,BWB N Toll Plaza - HRP N Lafayatte Ave
45.36,152,Queens,TBB N QUEENS ANCHORAGE - BE N
41.01,161,Staten Island,SIE E BRADLEY AVENUE - CLOVE ROAD
0.0,0,Brooklyn,GOW N 7TH AVENUE - 9TH STREET
26.09,102,Queens,TNB S Qns Anchorage - CIP S @ TNB
21.12,112,Manhattan,TBB W - FDR S MANHATTAN TRUSS - E116TH STREET
48.46,171,Bronx,CBE E CASTLE HILL AVE - BE N WATERBURY AVE
53.43,86,Bronx,BE N STRATFORD AVENUE - CASTLE HILL AVE
33.55,164,Queens,QMT W Toll Plaza - Manhattan Side
37.9,333,Brooklyn,GOW S 9TH STREET - 7TH AVENUE
30.44,387,Queens,CIP N LIE ramp - TNB
46.6,161,Staten Island,WSE N TYRELLAN AVENUE - BLOOMINGDALE ROAD
47.84,44,Brooklyn,GOW S VNB W 92ND STREET - BKLYN GANTRY LOWER LEVEL
45.98,239,Queens,CIP S LIE - Hempstead Tpk
38.52,41,Staten Island,SIE E WOOLEY AVENUE - BRADLEY AVENUE
11.8,279,Manhattan,11th ave s ganservoort - west st @ spring st
47.84,44,Staten Island,VNB W-SIE W SI GANTRY LOWER LEVEL - FINGERBOARD ROAD
51.57,84,Bronx,BWB S Toll Plaza - Queens Anchorage
