SPEED,TRAVEL_TIME,BOROUGH,LINK_NAME
26.09,175,Brooklyn,VNB E SI GANTRY UPPER LEVEL - BROOKLYN GANTRY UPPER LEVEL
14.29,374,Manhattan,11th ave n ganservoort - 12th ave @ 40th st
45.98,193,Queens,VWE N MP4.63 (Exit 6 - Jamaica Ave) - MP6.39 (Exit 11 Jewel Ave)
16.15,438,Manhattan,BBT W Toll Plaza - Manhattan Portal
43.49,106,Brooklyn,VNB W BROOKLYN GANTRY LOWER LEVEL - SI GANTRY LOWER LEVEL
46.6,46,Brooklyn,GOW S VNB W 92ND STREET - BKLYN GANTRY LOWER LEVEL
42.87,54,Staten Island,SIE E VNB E FINGERBOARD ROAD - SI GANTRY UPPER LEVEL
0.0,0,Bronx,CBE W U/LEV AMSTERDAM AVE - I95 S EXP LNS
46.6,138,Queens,BWB S Queens Anchorage - WSE S Exit 14 (Linden Pl)
6.21,862,Staten Island,ROUTE 169 S - MLK WALKER STREET
21.74,242,Queens,VWE N MP6.39 (Exit 11 Jewel Ave) - MP8.65 (Exit 13 Northern Blvd)
49.7,139,Queens,TBB N QUEENS ANCHORAGE - BE N
37.28,272,Manhattan,FDR S 25th St - Catherine Slip
45.98,151,Queens,TBB N QUEENS ANCHORAGE - BE N
40.38,137,Bronx,BRP N WATSON AVENUE - FORDHAM ROAD
35.41,60,Brooklyn,VNB E-GOWANUS N BROOKLYN GANTRY UPPER LEVEL - 92ND STREET
9.32,440,Bronx,CBE W MORRIS AVE - GWB W AMSTERDAM AVE (U/LVL)
16.15,337,Queens,QMT W Toll Plaza - Manhattan Side
0.0,0,Bronx,I-87 NYST S Exit 1 - MDE S Van Cortlandt Park
0.0,0,Bronx,CBE W L/LE V AMSTERDAM AVE - I 95 S LOC LNS
16.77,156,Manhattan,FDR S Catherine Slip - BKN Bridge Manhattan Side
54.05,86,Brooklyn,VNB W BROOKLYN GANTRY UPPER LEVEL - SI GANTRY UPPER LEVEL
51.57,211,Queens,CVE NB LIE - WILLETS PT BLVD
52.19,144,Staten Island,WSE N TYRELLAN AVENUE - BLOOMINGDALE ROAD
41.01,96,Staten Island,SIE W WOOLEY AVENUE - RICHMOND AVENUE
47.22,92,Queens,BWB N Queens Anchorage - Toll Plaza
