SPEED,TRAVEL_TIME,BOROUGH,LINK_NAME
26.71,166,Bronx,MDE S HARLEM RIVER PARK - GWB W AMSTERDAM AVENUE LOWER LEVEL
14.29,156,Manhattan,12th Ave S 57th St - 45th St
24.85,105,Manhattan,FDR S Catherine Slip - BKN Bridge Manhattan Side
52.81,145,Staten Island,WSE S TYRELLAN AVENUE - 440 S FRANCIS STREET
32.93,196,Queens,Whitestone Expwy N Exit 14 (Linden Pl) - BWB N Queens Anchorage
11.18,380,Bronx,CBE E AMSTERDAM AVE(U/LVL) - MORRIS AVE
13.67,535,Queens,TBB S MANHATTAN LIFT SPAN - QUEENS ANCHORAGE
43.49,49,Staten island,VNB W-SIE W SI GANTRY UPPER LEVEL - FINGERBOARD ROAD
29.2,254,Staten Island,WSE N TYRELLAN AVENUE - BLOOMINGDALE ROAD
16.15,159,Manhattan,BKN Bridge Manhattan Side - FDR N Catherine Slip
44.11,209,Queens,Laurelton Pkwy S @ SSP - Belt Pkwy W 182nd St
51.57,86,Bronx,BE S CASTLE HILL AVENUE - STRATFORD AVENUE
17.39,456,Queens,TBB N QUEENS ANCHORAGE - MANHATTAN LIFT SPAN
18.64,177,Manhattan,11th ave s ganservoort - west st @ spring st
45.36,254,Queens,CIP N TNB - Whitestone Expwy S Exit 14 (Linden Pl)
13.67,309,Brooklyn,GOW N 92ND STREET - 7TH AVENUE
45.36,184,Bronx,CBE W U/LEV AMSTERDAM AVE - I95 S EXP LNS
31.68,74,Manhattan,FDR N - TBB E 116TH STREET - MANHATTAN TRUSS
21.12,203,Brooklyn,GOW N 92ND STREET - 7TH AVENUE
31.06,86,Staten Island,SIE E SOUTH AVENUE - RICHMOND AVENUE
50.95,214,Queens,CVE NB LIE - WILLETS PT BLVD
54.68,141,Staten Island,440 N FRANCIS STREET - WSE N TYRELLAN AVE
13.67,330,Bronx,BWB S Toll Plaza - Queens Anchorage
41.63,164,Manhattan,FDR N 25th - 63rd St
68.35,75,Staten Island,WSE S ARDEN AVENUE - BLOOMINGDALE ROAD
41.63,56,Staten Island,SIE E VNB E FINGERBOARD ROAD - SI GANTRY LOWER LEVEL
29.82,88,Manhattan,BKN Bridge Manhattan Side - FDR N Catherine Slip
44.11,48,Brooklyn,GOW S VNB W 92ND STREET - BKLYN GANTRY UPPER LEVEL
40.38,204,Bronx,CBE W U/LEV AMSTERDAM AVE - I95 S EXP LNS
24.23,162,Staten Island,SIE E RICHMOND AVENUE - WOOLEY AVENUE
52.19,48,Bronx,CBE W CASTLE HILL AVENUE - TAYLOR AVENUE
36.66,540,Manhattan,Westside Hwy N 57th St - GWB
14.91,472,Queens,TBB N QUEENS ANCHORAGE - BE N
51.57,211,Queens,VWE S MP2.66 (Exit 2 Rockaway Blvd) - Belt Pkwy E 182nd St
42.87,49,Staten Island,VNB W-SIE W SI GANTRY LOWER LEVEL - FINGERBOARD ROAD
54.05,26,Staten Island,SIE W BRADLEY AVENUE - WOOLEY AVENUE
24.85,280,Staten Island,SIE W - WSE S SOUTH AVENUE - SOUTH AVENUE
46.6,57,Staten Island,SIE E SOUTH AVENUE - RICHMOND AVENUE
49.08,32,Staten Island,SIE E WOOLEY AVENUE - BRADLEY AVENUE
53.43,53,Staten Island,WSE S SOUTH AVENUE - VICTORY BOULEVARD
44.73,83,Queens,Belt Pkwy W 182nd St - JFK Expressway
10.56,559,Staten Island,SIE W FINGERBOARD ROAD - CLOVE ROAD
54.05,119,Queens,BWB S Queens Anchorage - WSE S Exit 14 (Linden Pl)
44.73,111,Manhattan,LINCOLN TUNNEL W NORTH TUBE NY - NJ
19.88,338,Queens,TNB S Toll Plaza - Queens Anchorage
27.96,289,Queens,TBB N QUEENS ANCHORAGE - MANHATTAN LIFT SPAN
5.59,1355,Queens,TBB N QUEENS ANCHORAGE - MANHATTAN LIFT SPAN
0.0,0,Staten Island,ROUTE 169 S - MLK WALKER STREET
0.0,0,Bronx,CBE W L/LE V AMSTERDAM AVE - I 95 S LOC LNS
41.63,55,Staten Island,SIE E VNB E FINGERBOARD ROAD - SI GANTRY LOWER LEVEL
9.32,936,Queens,VWE S MP6.39 (Exit 11 Jewel Ave) - MP4.63 (Exit 6 Jamaica Ave)
55.3,46,Bronx,CBE W CASTLE HILL AVENUE - TAYLOR AVENUE
31.68,79,Bronx,BWB N Toll Plaza - HRP N Lafayatte Ave
0.0,0,Queens,LIE WB LITTLE NECK PKWY - NB CIP
19.88,634,Brooklyn,GOW S 9TH STREET - 7TH AVENUE
39.14,64,Bronx,HRP S Lafayette Ave - BWB S Toll Plaza
18.64,135,Bronx,CBE E TAYLOR AVENUE - CASTLE HILL AVENUE
0.0,0,Staten Island,MLK N WALKER STREET - NJ ROUTE 169
44.73,259,Queens,CIP N TNB - Whitestone Expwy S Exit 14 (Linden Pl)
54.68,85,Brooklyn,VNB W BROOKLYN GANTRY LOWER LEVEL - SI GANTRY LOWER LEVEL
53.43,128,Queens,TNB S Toll Plaza - Queens Anchorage
25.47,181,Bronx,BE N STRATFORD AVENUE - CASTLE HILL AVE
0.0,0,Staten Island,MLK S - SIE W WALKER STREET - RICHMOND AVENUE
55.92,207,Queens,CIP N TNB - Whitestone Expwy S Exit 14 (Linden Pl)
16.77,254,Brooklyn,GOW N 92ND STREET - 7TH AVENUE
60.89,134,Bronx,I-87 NYST S Exit 1 - MDE S Van Cortlandt Park
0.0,0,Staten Island,MLK N WALKER STREET - NJ ROUTE 169
57.16,191,Queens,CIP S LIE - Hempstead Tpk
6.21,400,Bronx,CBE W CASTLE HILL AVENUE - TAYLOR AVENUE
32.93,123,Brooklyn,GOW N 9TH STREET - ATLANTIC AVENUE
42.25,170,Queens,BE S TBB EXIT RAMP - QUEENS ANCHORAGE
45.36,160,Queens,TBB N QUEENS ANCHORAGE - BE N
52.81,115,Staten Island,WSE N-SIE E SOUTH AVENUE - SOUTH AVENUE
41.01,56,Staten Island,SIE E VNB E FINGERBOARD ROAD - SI GANTRY LOWER LEVEL
9.32,231,Manhattan,12th Ave S 57th St - 45th St
38.52,41,Staten Island,SIE E WOOLEY AVENUE - BRADLEY AVENUE
57.16,106,Staten Island,WSE N-SIE E SOUTH AVENUE - SOUTH AVENUE
14.91,172,Manhattan,BKN Bridge Manhattan Side - FDR N Catherine Slip
45.98,85,Queens,LIE WB LITTLE NECK PKWY - NB CIP
10.56,511,Manhattan,11th ave n ganservoort - 12th ave @ 40th st
19.88,344,Manhattan,FDR N 25th - 63rd St
13.04,381,Queens,LIE E 84TH ST - 108TH ST
8.07,647,Manhattan,LINCOLN TUNNEL W CENTER TUBE NY - NJ
48.46,110,Queens,VWE S MP8.65 (Exit 13 Northern Blvd) - MP6.39 (Exit 11 Jewel Ave)
0.0,0,Bronx,CBE W MORRIS AVE - GWB W AMSTERDAM AVE (U/LVL)
34.17,136,Bronx,BWB S Toll Plaza - Queens Anchorage
39.76,58,Staten Island,SIE E VNB E FINGERBOARD ROAD - SI GANTRY LOWER LEVEL
45.98,35,Staten Island,SIE E WOOLEY AVENUE - BRADLEY AVENUE
64.0,81,Staten Island,WSE S ARDEN AVENUE - BLOOMINGDALE ROAD
21.74,151,Manhattan,11th ave s ganservoort - west st @ spring st
3.1,781,Bronx,CBE W CASTLE HILL AVENUE - TAYLOR AVENUE
2.48,1763,Bronx,HRP N LAFAYETTE AVENUE - E TREMONT AVENUE
13.67,297,Brooklyn,BQE S - GOW S ALTANTIC AVENUE - 9TH STREET
18.01,144,Manhattan,BKN Bridge Manhattan Side - FDR N Catherine Slip
45.98,50,Staten Island,SIE E VNB E FINGERBOARD ROAD - SI GANTRY UPPER LEVEL
54.68,300,Queens,CVE NB GCP - WILLETS PT BLVD
15.53,406,Manhattan,12th ave @ 45th - 11 ave ganservoort st
16.77,181,Queens,BE S TBB EXIT RAMP - MANHATTAN LIFT SPAN
8.69,494,Bronx,CBE AMSTERDAM AVE (L/LVL) - MORRIS AVE
47.84,155,Bronx,BE N Castle Hill Avenue - Griswold Ave
54.05,137,Bronx,BE S Griswold - Castle Hill Avenue
50.95,146,Bronx,BE N Castle Hill Avenue - Griswold Ave
11.18,388,Bronx,HRP N LAFAYETTE AVENUE - E TREMONT AVENUE
42.87,462,Manhattan,Westside Hwy S GWB - 57th St
49.7,167,Bronx,CBE E CASTLE HILL AVE - BE N WATERBURY AVE
47.84,46,Queens,CIP N ramp to TNB - TNB Queens Anchorage
18.64,549,Manhattan,FDR N Catherine Slip - 25th St
53.43,87,Brooklyn,VNB W BROOKLYN GANTRY UPPER LEVEL - SI GANTRY UPPER LEVEL
19.88,111,Manhattan,12th Ave S 57th St - 45th St
6.21,843,Manhattan,LINCOLN TUNNEL E SOUTH TUBE - NJ - NY
59.03,45,Queens,TNB S Qns Anchorage - CIP S @ TNB
13.04,228,Queens,BE S TBB EXIT RAMP - MANHATTAN LIFT SPAN
57.16,110,Staten Island,WSE S BLLOMINGDALE ROAD - TYRELLAN AVENUE
62.75,82,Staten Island,WSE S ARDEN AVENUE - BLOOMINGDALE ROAD
55.92,45,Bronx,CBE E TAYLOR AVENUE - CASTLE HILL AVENUE
49.08,94,Brooklyn,VNB W BROOKLYN GANTRY LOWER LEVEL - SI GANTRY LOWER LEVEL
54.68,151,Bronx,CBE E CASTLE HILL AVE - BE N WATERBURY AVE
0.0,0,Staten Island,SIE W - MLK N WOOLEY AVENUE - WLAKER STREET
57.78,102,Staten Island,SIE W FINGERBOARD ROAD - CLOVE ROAD
11.18,1728,Manhattan,Westside Hwy N 57th St - GWB
39.14,175,Queens,TNB S Toll Plaza - Queens Anchorage
0.0,0,Staten Island,SIE W - MLK N WOOLEY AVENUE - WLAKER STREET
0.0,0,Staten Island,MLK S - SIE E WALKER STREET - WOOLEY AVENUE
53.43,80,Bronx,CBE W MORRIS AVE - GWB W AMSTERDAM AVE (L/LVL)
48.46,133,Queens,BWB S Queens Anchorage - WSE S Exit 14 (Linden Pl)
41.63,154,Queens,Whitestone Expwy N Exit 14 (Linden Pl) - BWB N Queens Anchorage
11.8,446,Manhattan,11th ave n ganservoort - 12th ave @ 40th st
55.92,136,Queens,CIP S Hempstead Tpk - Laurelton Pkwy @ SSP
17.39,323,Manhattan,West St S Spring St - BBT Manhattan Portal outbound
65.86,59,Staten Island,SIE W WOOLEY AVENUE - RICHMOND AVENUE
54.68,29,Staten Island,SIE E WOOLEY AVENUE - BRADLEY AVENUE
8.69,238,Brooklyn,VNB E-GOWANUS N BROOKLYN GANTRY LOWER LEVEL - 92ND STREET
47.84,150,Queens,MDE S TBB EXIT RAMP - QUEENS ANCHORAGE
56.54,138,Staten Island,WSE N ARDEN AVENUE - VICTORY BLVD
0.0,0,Queens,LIE WB LITTLE NECK PKWY - NB CIP
0.0,0,Staten Island,SIE E-MLK N RICHMOND AVENUE - WALKER STREET
