SPEED,TRAVEL_TIME,BOROUGH,LINK_NAME
29.82,178,Queens,QMT W Toll Plaza - Manhattan Side
19.88,276,Manhattan,LINCOLN TUNNEL W CENTER TUBE NY - NJ
0.0,0,Manhattan,BQE N Atlantic Ave - MAN Bridge Manhattan Side
54.68,102,Staten Island,SIE E CLOVE ROAD - FINGERBOARD ROAD
32.31,232,Bronx,BE S Griswold - Castle Hill Avenue
16.77,156,Queens,TNB S Qns Anchorage - CIP S @ TNB
47.22,97,Queens,BWB N Queens Anchorage - Toll Plaza
45.36,164,Bronx,BE S Griswold - Castle Hill Avenue
16.77,748,Brooklyn,GOW S 9TH STREET - 7TH AVENUE
60.27,83,Staten Island,WSE N BLOOMUINGDALE ROAD - ARDEN AVENUE
54.68,134,Manhattan,GWB E LOWER LEVEL PLAZA - CBE E LOWER LEVEL AMSTERDAM AVE
2.48,905,Manhattan,12th Ave S 57th St - 45th St
49.7,331,Queens,CVE NB GCP - WILLETS PT BLVD
26.09,451,Queens,CIP N LIE ramp - TNB
48.46,132,Queens,Whitestone Expwy N Exit 14 (Linden Pl) - BWB N Queens Anchorage
61.51,84,Staten Island,WSE S ARDEN AVENUE - BLOOMINGDALE ROAD
46.6,153,Queens,MDE S TBB EXIT RAMP - QUEENS ANCHORAGE
50.95,108,Queens,Whitestone Expwy S Exit 14 (Linden Pl) - VWE S MP8.65 (Exit 13 Northern Blvd)
54.68,49,Staten Island,SIE E SOUTH AVENUE - RICHMOND AVENUE
62.13,63,Staten Island,SIE W WOOLEY AVENUE - RICHMOND AVENUE
54.68,48,Staten Island,SIE E SOUTH AVENUE - RICHMOND AVENUE
16.77,406,Manhattan,FDR N 25th - 63rd St
41.01,56,Staten Island,SIE E VNB E FINGERBOARD ROAD - SI GANTRY LOWER LEVEL
47.84,48,Staten Island,SIE E VNB E FINGERBOARD ROAD - SI GANTRY UPPER LEVEL
53.43,100,Queens,VWE N MP6.39 (Exit 11 Jewel Ave) - MP8.65 (Exit 13 Northern Blvd)
29.82,274,Queens,TBB N QUEENS ANCHORAGE - MANHATTAN LIFT SPAN
44.73,52,Staten Island,SIE E VNB E FINGERBOARD ROAD - SI GANTRY UPPER LEVEL
56.54,162,Queens,Laurelton Pkwy S @ SSP - Belt Pkwy W 182nd St
0.0,0,Queens,TBB S MANHATTAN LIFT SPAN - QUEENS ANCHORAGE
0.0,0,Manhattan,West St S Spring St - BBT Manhattan Portal outbound
6.83,652,Bronx,HRP N LAFAYETTE AVENUE - E TREMONT AVENUE
53.43,141,Staten Island,WSE N TYRELLAN AVENUE - BLOOMINGDALE ROAD
52.19,82,Bronx,CBE E AMSTERDAM AVE(U/LVL) - MORRIS AVE
47.22,217,Manhattan,FDR S 25th St - Catherine Slip
0.0,0,Staten Island,WSE S VICTORY BOULEVARD - ARDEN AVENUE
27.96,257,Queens,MDE S TBB EXIT RAMP - QUEENS ANCHORAGE
50.95,91,Brooklyn,VNB W BROOKLYN GANTRY LOWER LEVEL - SI GANTRY LOWER LEVEL
64.62,126,Bronx,I-87 NYST S Exit 1 - MDE S Van Cortlandt Park
55.92,140,Staten Island,WSE N ARDEN AVENUE - VICTORY BLVD
50.33,128,Queens,BWB S Queens Anchorage - WSE S Exit 14 (Linden Pl)
33.55,160,Queens,VWE S MP8.65 (Exit 13 Northern Blvd) - MP6.39 (Exit 11 Jewel Ave)
49.7,152,Queens,CIP S Hempstead Tpk - Laurelton Pkwy @ SSP
52.81,154,Bronx,I-87 NYST S Exit 1 - MDE S Van Cortlandt Park
38.52,177,Manhattan,FDR N 25th - 63rd St
56.54,194,Queens,CIP S LIE - Hempstead Tpk
1.24,4468,Queens,TBB N QUEENS ANCHORAGE - BE N
15.53,454,Brooklyn,BQE S 46TH STREET - LEONARD STREET
61.51,84,Staten Island,WSE S ARDEN AVENUE - BLOOMINGDALE ROAD
37.28,67,Bronx,HRP S Lafayette Ave - BWB S Toll Plaza
36.66,176,Manhattan,BBT E Manhattan Portal - Toll Plaza
17.39,301,Manhattan,11th ave n ganservoort - 12th ave @ 40th st
49.08,32,Staten Island,SIE E WOOLEY AVENUE - BRADLEY AVENUE
0.0,0,Bronx,BRP S FORDHAM ROAD - WATSON AVENUE
0.0,0,Manhattan,BQE N Atlantic Ave - MAN Bridge Manhattan Side
59.03,84,Queens,LIE W 108TH ST - 84TH ST
39.14,277,Queens,VWE S MP2.66 (Exit 2 Rockaway Blvd) - Belt Pkwy E 182nd St
38.52,55,Brooklyn,GOW S VNB W 92ND STREET - BKLYN GANTRY LOWER LEVEL
42.87,239,Manhattan,FDR S 25th St - Catherine Slip
0.0,0,Staten Island,SIE E-MLK N RICHMOND AVENUE - WALKER STREET
47.22,86,Brooklyn,BQE S - GOW S ALTANTIC AVENUE - 9TH STREET
50.95,187,Queens,LIE WB LITTLE NECK PKWY - NB CVE
18.01,399,Brooklyn,BQE S 46TH STREET - LEONARD STREET
52.19,147,Staten Island,WSE S TYRELLAN AVENUE - 440 S FRANCIS STREET
50.95,28,Staten Island,SIE W BRADLEY AVENUE - WOOLEY AVENUE
44.73,166,Manhattan,GWB E LOWER LEVEL PLAZA - CBE E LOWER LEVEL AMSTERDAM AVE
50.33,148,Bronx,BE N Castle Hill Avenue - Griswold Ave
11.8,441,Manhattan,QMT E Manhattan Side - Toll Plaza
