SPEED,TRAVEL_TIME,BOROUGH,LINK_NAME
56.54,88,Queens,LIE W 108TH ST - 84TH ST
56.54,38,Queens,CIP N ramp to TNB - TNB Queens Anchorage
61.51,149,Queens,Laurelton Pkwy S @ SSP - Belt Pkwy W 182nd St
0.0,0,Staten Island,ROUTE 169 S - MLK WALKER STREET
46.6,115,Queens,VWE S MP8.65 (Exit 13 Northern Blvd) - MP6.39 (Exit 11 Jewel Ave)
10.56,216,Staten Island,SIE E VNB E FINGERBOARD ROAD - SI GANTRY UPPER LEVEL
50.95,109,Queens,Whitestone Expwy S Exit 14 (Linden Pl) - VWE S MP8.65 (Exit 13 Northern Blvd)
37.28,114,Bronx,CBE AMSTERDAM AVE (L/LVL) - MORRIS AVE
52.81,145,Staten Island,WSE S TYRELLAN AVENUE - 440 S FRANCIS STREET
54.05,102,Staten Island,SIE E CLOVE ROAD - FINGERBOARD ROAD
45.98,194,Queens,VWE N MP4.63 (Exit 6 - Jamaica Ave) - MP6.39 (Exit 11 Jewel Ave)
53.43,87,Queens,BWB N Queens Anchorage - Toll Plaza
41.63,183,Staten Island,WSE S TYRELLAN AVENUE - 440 S FRANCIS STREET
29.82,148,Bronx,BE S CASTLE HILL AVENUE - STRATFORD AVENUE
8.69,263,Staten Island,SIE E VNB E FINGERBOARD ROAD - SI GANTRY LOWER LEVEL
54.05,151,Bronx,I-87 NYST S Exit 1 - MDE S Van Cortlandt Park
1.24,3731,Manhattan,BBT E Manhattan Portal - Toll Plaza
41.01,52,Brooklyn,GOW S VNB W 92ND STREET - BKLYN GANTRY UPPER LEVEL
0.0,0,Staten Island,MLK N WALKER STREET - NJ ROUTE 169
24.85,429,Queens,VWE S MP2.66 (Exit 2 Rockaway Blvd) - Belt Pkwy E 182nd St
0.0,0,Queens,BE S TBB EXIT RAMP - QUEENS ANCHORAGE
53.43,140,Staten Island,WSE N TYRELLAN AVENUE - BLOOMINGDALE ROAD
36.66,107,Queens,LIE WB LITTLE NECK PKWY - NB CIP
27.34,263,Manhattan,BQE N Atlantic Ave - BKN Bridge Manhattan Side
45.98,46,Brooklyn,VNB E-GOWANUS N BROOKLYN GANTRY LOWER LEVEL - 92ND STREET
32.31,77,Bronx,HRP S Lafayette Ave - BWB S Toll Plaza
47.84,214,Manhattan,FDR N Catherine Slip - 25th St
8.69,275,Bronx,CBE W CASTLE HILL AVENUE - TAYLOR AVENUE
0.0,0,Brooklyn,GOW N 9TH STREET - ATLANTIC AVENUE
52.81,207,Queens,CIP N Hempstead Tpk - LIE
18.01,679,Queens,Belt Pkwy W JFK Expressway - VWE N Jamaica Ave
1.86,2972,Manhattan,BBT W Toll Plaza - Manhattan Portal
29.2,259,Queens,CIP S Hempstead Tpk - Laurelton Pkwy @ SSP
