SPEED,TRAVEL_TIME,BOROUGH,LINK_NAME
62.13,35,Queens,CIP N ramp to TNB - TNB Queens Anchorage
27.34,97,Manhattan,FDR S Catherine Slip - BKN Bridge Manhattan Side
60.89,129,Staten Island,WSE S VICTORY BOULEVARD - ARDEN AVENUE
57.78,93,Queens,VWE N MP6.39 (Exit 11 Jewel Ave) - MP8.65 (Exit 13 Northern Blvd)
9.32,1010,Manhattan,BQE N Atlantic Ave - MAN Bridge Manhattan Side
22.36,398,Queens,VWE S MP6.39 (Exit 11 Jewel Ave) - MP4.63 (Exit 6 Jamaica Ave)
47.22,166,Queens,Laurelton Pkwy N @ SSP - CIP N Hempstead Tpk
47.84,52,Bronx,CBE E TAYLOR AVENUE - CASTLE HILL AVENUE
34.17,70,Manhattan,TBB W - FDR S MANHATTAN TRUSS - E116TH STREET
16.15,656,Queens,VWE S MP2.66 (Exit 2 Rockaway Blvd) - Belt Pkwy E 182nd St
21.74,149,Manhattan,11th ave s ganservoort - west st @ spring st
47.22,159,Bronx,BE S Griswold - Castle Hill Avenue
44.11,155,Queens,TNB S Toll Plaza - Queens Anchorage
21.12,107,Manhattan,12th Ave S 57th St - 45th St
1.86,1665,Brooklyn,BQE S - GOW S ALTANTIC AVENUE - 9TH STREET
17.39,130,Manhattan,12th Ave S 57th St - 45th St
55.3,124,Queens,VWE S MP4.63 (Exit 6 Jamaica Ave) - MP2.66 (Exit 2 Roackaway Blvd)
0.0,0,Bronx,MDE S HARLEM RIVER PARK - GWB W AMSTERDAM AVENUE UPPER LEVEL
41.63,51,Brooklyn,GOW S VNB W 92ND STREET - BKLYN GANTRY LOWER LEVEL
20.5,244,Bronx,MDE N RFK Bridge - 142nd St
0.0,0,Staten Island,SIE E-MLK N RICHMOND AVENUE - WALKER STREET
41.01,52,Staten Island,VNB W-SIE W SI GANTRY LOWER LEVEL - FINGERBOARD ROAD
1.86,1778,Brooklyn,BQE S - GOW S ALTANTIC AVENUE - 9TH STREET
55.92,45,Bronx,CBE E TAYLOR AVENUE - CASTLE HILL AVENUE
41.63,51,Staten island,VNB W-SIE W SI GANTRY UPPER LEVEL - FINGERBOARD ROAD
0.0,0,Staten Island,MLK S - SIE E WALKER STREET - WOOLEY AVENUE
48.46,110,Queens,VWE N MP8.64 (Exit 13 Northern Blvd) - Whitestone Expwy Exit 14 (Linden Pl)
36.03,281,Manhattan,FDR N Catherine Slip - 25th St
51.57,83,Brooklyn,GOW S 7TH AVENUE - 92ND STREET
31.06,262,Queens,TBB N QUEENS ANCHORAGE - MANHATTAN LIFT SPAN
60.89,134,Bronx,I-87 NYST S Exit 1 - MDE S Van Cortlandt Park
43.49,236,Manhattan,FDR N Catherine Slip - 25th St
46.6,148,Manhattan,FDR S 63rd - 25th St
55.3,198,Queens,CIP S LIE - Hempstead Tpk
3.1,1292,Brooklyn,GOW N 9TH STREET - ATLANTIC AVENUE
41.01,56,Staten Island,SIE E VNB E FINGERBOARD ROAD - SI GANTRY LOWER LEVEL
52.19,195,Manhattan,FDR S 25th St - Catherine Slip
0.0,0,Queens,CIP N LIE ramp - TNB
13.67,858,Queens,Belt Pkwy W JFK Expressway - VWE N Jamaica Ave
0.0,0,Staten Island,SIE E-MLK N RICHMOND AVENUE - WALKER STREET
0.0,0,Queens,TBB S MANHATTAN LIFT SPAN - QUEENS ANCHORAGE
60.27,42,Bronx,CBE E TAYLOR AVENUE - CASTLE HILL AVENUE
49.7,46,Staten Island,SIE E VNB E FINGERBOARD ROAD - SI GANTRY UPPER LEVEL
52.19,42,Queens,CIP N ramp to TNB - TNB Queens Anchorage
50.95,91,Brooklyn,VNB E SI GANTRY UPPER LEVEL - BROOKLYN GANTRY UPPER LEVEL
49.08,43,Brooklyn,VNB E-GOWANUS N BROOKLYN GANTRY LOWER LEVEL - 92ND STREET
32.31,249,Queens,TBB N QUEENS ANCHORAGE - MANHATTAN LIFT SPAN
0.0,0,Brooklyn,BQE N LEONARD STREET - 46TH STREET
33.55,359,Queens,Belt Pkwy W JFK Expressway - VWE N Jamaica Ave
45.98,48,Queens,CIP N ramp to TNB - TNB Queens Anchorage
59.03,138,Bronx,I-87 NYST S Exit 1 - MDE S Van Cortlandt Park
47.22,342,Queens,CIP NB GCP - TNB
62.75,71,Bronx,HRP N LAFAYETTE AVENUE - E TREMONT AVENUE
55.92,134,Bronx,BE S Griswold - Castle Hill Avenue
0.0,0,Queens,TBB S MANHATTAN LIFT SPAN - QUEENS ANCHORAGE
35.41,74,Manhattan,FDR S Catherine Slip - BKN Bridge Manhattan Side
1.86,3510,Queens,BE S TBB EXIT RAMP - QUEENS ANCHORAGE
39.76,172,Manhattan,FDR N 25th - 63rd St
63.37,70,Bronx,HRP N LAFAYETTE AVENUE - E TREMONT AVENUE
1.86,1656,Brooklyn,GOW N 9TH STREET - ATLANTIC AVENUE
40.38,267,Queens,VWE S MP2.66 (Exit 2 Rockaway Blvd) - Belt Pkwy E 182nd St
58.4,79,Bronx,BE N STRATFORD AVENUE - CASTLE HILL AVE
56.54,147,Bronx,CBE E CASTLE HILL AVE - BE N WATERBURY AVE
0.0,0,Staten Island,ROUTE 169 S - MLK WALKER STREET
