SPEED,TRAVEL_TIME,BOROUGH,LINK_NAME
16.77,243,Brooklyn,BQE S - GOW S ALTANTIC AVENUE - 9TH STREET
50.33,177,Queens,VWE N MP4.63 (Exit 6 - Jamaica Ave) - MP6.39 (Exit 11 Jewel Ave)
0.0,0,Staten Island,MLK S - SIE E WALKER STREET - WOOLEY AVENUE
54.05,306,Queens,CVE NB GCP - WILLETS PT BLVD
20.5,131,Queens,TNB S Qns Anchorage - CIP S @ TNB
44.73,48,Brooklyn,GOW S VNB W 92ND STREET - BKLYN GANTRY LOWER LEVEL
57.78,46,Staten Island,SIE E SOUTH AVENUE - RICHMOND AVENUE
54.05,135,Queens,TBB N QUEENS ANCHORAGE - BE N
47.84,115,Staten Island,SIE E CLOVE ROAD - FINGERBOARD ROAD
53.43,237,Brooklyn,GOW S 9TH STREET - 7TH AVENUE
64.62,108,Staten Island,SIE W - WSE S SOUTH AVENUE - SOUTH AVENUE
22.36,321,Manhattan,BQE N Atlantic Ave - BKN Bridge Manhattan Side
47.84,52,Bronx,HRP S Lafayette Ave - BWB S Toll Plaza
35.41,220,Queens,Laurelton Pkwy N @ SSP - CIP N Hempstead Tpk
37.9,100,Queens,Belt Pkwy W 182nd St - JFK Expressway
0.0,0,Staten Island,MLK S - SIE E WALKER STREET - WOOLEY AVENUE
42.87,149,Queens,BWB S Queens Anchorage - WSE S Exit 14 (Linden Pl)
41.01,157,Manhattan,BBT E Manhattan Portal - Toll Plaza
54.05,53,Staten Island,WSE S SOUTH AVENUE - VICTORY BOULEVARD
55.3,299,Queens,CVE NB GCP - WILLETS PT BLVD
0.0,0,Manhattan,BQE N Atlantic Ave - MAN Bridge Manhattan Side
33.55,164,Manhattan,LINCOLN TUNNEL E SOUTH TUBE - NJ - NY
45.98,116,Queens,VWE S MP8.65 (Exit 13 Northern Blvd) - MP6.39 (Exit 11 Jewel Ave)
49.7,138,Manhattan,FDR S 63rd - 25th St
50.95,388,Manhattan,Westside Hwy S GWB - 57th St
36.66,72,Queens,TNB S Qns Anchorage - CIP S @ TNB
45.36,47,Brooklyn,GOW S VNB W 92ND STREET - BKLYN GANTRY LOWER LEVEL
40.38,311,Brooklyn,GOW N 7TH AVENUE - 9TH STREET
59.03,156,Queens,Belt Pkwy E 182nd St - Laurelton Pkwy N @ SSP
22.99,299,Queens,VWE S MP4.63 (Exit 6 Jamaica Ave) - MP2.66 (Exit 2 Roackaway Blvd)
56.54,67,Queens,Belt Pkwy W 182nd St - JFK Expressway
55.92,118,Staten Island,SIE E BRADLEY AVENUE - CLOVE ROAD
58.4,104,Staten Island,WSE N-SIE E SOUTH AVENUE - SOUTH AVENUE
45.98,148,Manhattan,FDR S 63rd - 25th St
52.19,139,Queens,TBB N QUEENS ANCHORAGE - BE N
0.0,0,Staten Island,ROUTE 169 S - MLK WALKER STREET
36.03,118,Brooklyn,GOW N 92ND STREET - 7TH AVENUE
35.41,181,Manhattan,BBT E Manhattan Portal - Toll Plaza
57.16,130,Bronx,BE N Castle Hill Avenue - Griswold Ave
58.4,85,Queens,LIE E 84TH ST - 108TH ST
51.57,382,Manhattan,Westside Hwy S GWB - 57th St
55.3,48,Staten Island,SIE E SOUTH AVENUE - RICHMOND AVENUE
45.98,46,Brooklyn,VNB E-GOWANUS N BROOKLYN GANTRY UPPER LEVEL - 92ND STREET
14.91,285,Brooklyn,GOW S 7TH AVENUE - 92ND STREET
39.14,136,Queens,VWE N MP6.39 (Exit 11 Jewel Ave) - MP8.65 (Exit 13 Northern Blvd)
54.05,79,Bronx,CBE W MORRIS AVE - GWB W AMSTERDAM AVE (U/LVL)
0.0,0,Staten Island,MLK S - SIE E WALKER STREET - WOOLEY AVENUE
54.68,118,Queens,BWB S Queens Anchorage - WSE S Exit 14 (Linden Pl)
23.61,215,Bronx,MDE N RFK Bridge - 142nd St
44.11,85,Queens,Belt Pkwy W 182nd St - JFK Expressway
51.57,148,Staten Island,WSE S TYRELLAN AVENUE - 440 S FRANCIS STREET
51.57,128,Queens,TNB N Queens Anchorage - Toll Plaza
26.71,441,Queens,CIP N LIE ramp - TNB
52.19,106,Bronx,BRP S FORDHAM ROAD - WATSON AVENUE
50.95,84,Bronx,CBE W MORRIS AVE - GWB W AMSTERDAM AVE (U/LVL)
15.53,142,Manhattan,12th Ave S 57th St - 45th St
33.55,246,Bronx,CBE E CASTLE HILL AVE - BE N WATERBURY AVE
57.16,220,Brooklyn,GOW N 7TH AVENUE - 9TH STREET
48.46,106,Bronx,MDE N RFK Bridge - 142nd St
44.73,47,Brooklyn,GOW S VNB W 92ND STREET - BKLYN GANTRY UPPER LEVEL
45.36,47,Brooklyn,GOW S VNB W 92ND STREET - BKLYN GANTRY UPPER LEVEL
41.01,157,Queens,Whitestone Expwy N Exit 14 (Linden Pl) - BWB N Queens Anchorage
44.73,166,Bronx,BE S Griswold - Castle Hill Avenue
50.95,125,Queens,Whitestone Expwy N Exit 14 (Linden Pl) - BWB N Queens Anchorage
37.28,109,Brooklyn,GOW N 9TH STREET - ATLANTIC AVENUE
31.68,167,Queens,QMT W Toll Plaza - Manhattan Side
60.27,47,Staten Island,SIE W RICHMOND AVENUE - SOUTH AVENUE
41.63,180,Bronx,BE N Castle Hill Avenue - Griswold Ave
49.08,196,Queens,LIE WB LITTLE NECK PKWY - NB CVE
1.24,5649,Bronx,CBE W L/LE V AMSTERDAM AVE - I 95 S LOC LNS
49.7,145,Queens,BE S TBB EXIT RAMP - QUEENS ANCHORAGE
43.49,61,Queens,TNB S Qns Anchorage - CIP S @ TNB
13.04,180,Manhattan,FDR N - TBB E 116TH STREET - MANHATTAN TRUSS
21.12,296,Manhattan,12th ave @ 45th - 11 ave ganservoort st
44.73,48,Brooklyn,GOW S VNB W 92ND STREET - BKLYN GANTRY LOWER LEVEL
50.95,91,Bronx,BWB S Toll Plaza - Queens Anchorage
59.03,111,Staten Island,SIE E BRADLEY AVENUE - CLOVE ROAD
18.64,208,Queens,LIE WB LITTLE NECK PKWY - NB CIP
60.89,114,Staten Island,SIE W - WSE S SOUTH AVENUE - SOUTH AVENUE
0.0,0,Manhattan,BQE N Atlantic Ave - MAN Bridge Manhattan Side
39.14,300,Queens,CIP N LIE ramp - TNB
40.38,170,Manhattan,FDR S 63rd - 25th St
55.3,83,Brooklyn,VNB E SI GANTRY UPPER LEVEL - BROOKLYN GANTRY UPPER LEVEL
38.52,194,Bronx,BE S Griswold - Castle Hill Avenue
24.85,161,Brooklyn,BQE S - GOW S ALTANTIC AVENUE - 9TH STREET
42.25,300,Brooklyn,GOW N 7TH AVENUE - 9TH STREET
37.9,60,Staten Island,SIE E VNB E FINGERBOARD ROAD - SI GANTRY LOWER LEVEL
2.48,3073,Bronx,CBE W L/LE V AMSTERDAM AVE - I 95 S LOC LNS
56.54,88,Queens,LIE E 84TH ST - 108TH ST
57.78,159,Queens,Laurelton Pkwy S @ SSP - Belt Pkwy W 182nd St
25.47,167,Brooklyn,GOW S 7TH AVENUE - 92ND STREET
14.29,294,Bronx,CBE W MORRIS AVE - GWB W AMSTERDAM AVE (U/LVL)
2.48,1748,Bronx,MDE S HARLEM RIVER PARK - GWB W AMSTERDAM AVENUE LOWER LEVEL
29.2,247,Manhattan,BQE N Atlantic Ave - BKN Bridge Manhattan Side
55.92,226,Brooklyn,GOW N 7TH AVENUE - 9TH STREET
36.03,226,Bronx,I-87 NYST S Exit 1 - MDE S Van Cortlandt Park
45.36,94,Bronx,CBE W MORRIS AVE - GWB W AMSTERDAM AVE (L/LVL)
60.89,179,Queens,CVE NB LIE - WILLETS PT BLVD
48.46,225,Queens,CVE NB LIE - WILLETS PT BLVD
57.78,86,Staten Island,WSE N BLOOMUINGDALE ROAD - ARDEN AVENUE
44.73,48,Brooklyn,GOW S VNB W 92ND STREET - BKLYN GANTRY LOWER LEVEL
46.6,173,Queens,TBB N QUEENS ANCHORAGE - MANHATTAN LIFT SPAN
48.46,89,Bronx,CBE AMSTERDAM AVE (L/LVL) - MORRIS AVE
49.08,208,Manhattan,FDR S 25th St - Catherine Slip
16.77,339,Manhattan,West St S Spring St - BBT Manhattan Portal outbound
62.13,72,Bronx,BE S CASTLE HILL AVENUE - STRATFORD AVENUE
62.13,74,Bronx,BE N STRATFORD AVENUE - CASTLE HILL AVE
54.68,169,Queens,Laurelton Pkwy S @ SSP - Belt Pkwy W 182nd St
