SPEED,TRAVEL_TIME,BOROUGH,LINK_NAME
21.12,156,Manhattan,11th ave s ganservoort - west st @ spring st
21.12,124,Manhattan,FDR S Catherine Slip - BKN Bridge Manhattan Side
20.5,309,Queens,Whitestone Expwy N Exit 14 (Linden Pl) - BWB N Queens Anchorage
4.34,473,Manhattan,12th Ave S 57th St - 45th St
26.71,733,Manhattan,Westside Hwy S GWB - 57th St
55.3,173,Queens,LIE WB LITTLE NECK PKWY - NB CVE
57.16,120,Queens,TNB S Toll Plaza - Queens Anchorage
39.76,188,Bronx,BE N Castle Hill Avenue - Griswold Ave
29.82,296,Queens,VWE N MP4.63 (Exit 6 - Jamaica Ave) - MP6.39 (Exit 11 Jewel Ave)
0.0,0,Staten Island,MLK S - SIE E WALKER STREET - WOOLEY AVENUE
26.09,98,Manhattan,BKN Bridge Manhattan Side - FDR N Catherine Slip
54.68,151,Bronx,CBE E CASTLE HILL AVE - BE N WATERBURY AVE
32.93,168,Manhattan,LINCOLN TUNNEL E SOUTH TUBE - NJ - NY
52.81,60,Staten Island,WSE N VICTORY BLVD - SOUTH AVENUE
24.23,312,Staten Island,WSE S TYRELLAN AVENUE - 440 S FRANCIS STREET
50.95,153,Staten Island,WSE S VICTORY BOULEVARD - ARDEN AVENUE
24.23,289,Brooklyn,BQE N LEONARD STREET - 46TH STREET
0.62,5420,Manhattan,LINCOLN TUNNEL E CENTER TUBE NJ - NY
44.11,86,Queens,Belt Pkwy W 182nd St - JFK Expressway
46.6,138,Queens,Whitestone Expwy N Exit 14 (Linden Pl) - BWB N Queens Anchorage
28.58,111,Staten Island,WSE N VICTORY BLVD - SOUTH AVENUE
47.84,227,Queens,CVE NB LIE - WILLETS PT BLVD
36.03,199,Queens,MDE S TBB EXIT RAMP - QUEENS ANCHORAGE
50.33,393,Manhattan,Westside Hwy N 57th St - GWB
56.54,78,Bronx,BE S CASTLE HILL AVENUE - STRATFORD AVENUE
62.75,121,Queens,CIP S Hempstead Tpk - Laurelton Pkwy @ SSP
52.81,204,Queens,VWE S MP2.66 (Exit 2 Rockaway Blvd) - Belt Pkwy E 182nd St
55.3,113,Staten Island,WSE S BLLOMINGDALE ROAD - TYRELLAN AVENUE
47.22,98,Brooklyn,VNB E SI GANTRY UPPER LEVEL - BROOKLYN GANTRY UPPER LEVEL
16.77,494,Bronx,CBE W L/LE V AMSTERDAM AVE - I 95 S LOC LNS
15.53,460,Queens,TBB N QUEENS ANCHORAGE - BE N
44.11,59,Manhattan,BKN Bridge Manhattan Side - FDR N Catherine Slip
14.29,156,Manhattan,12th Ave S 57th St - 45th St
56.54,293,Queens,CVE NB GCP - WILLETS PT BLVD
54.68,137,Staten Island,WSE N TYRELLAN AVENUE - BLOOMINGDALE ROAD
0.0,0,Staten Island,MLK N WALKER STREET - NJ ROUTE 169
65.24,79,Staten Island,WSE S ARDEN AVENUE - BLOOMINGDALE ROAD
59.03,118,Staten Island,SIE W - WSE S SOUTH AVENUE - SOUTH AVENUE
43.49,49,Brooklyn,GOW S VNB W 92ND STREET - BKLYN GANTRY LOWER LEVEL
52.19,144,Staten Island,WSE N TYRELLAN AVENUE - BLOOMINGDALE ROAD
50.95,147,Staten Island,WSE N TYRELLAN AVENUE - BLOOMINGDALE ROAD
59.65,185,Queens,CIP N Hempstead Tpk - LIE
64.62,80,Staten Island,WSE S ARDEN AVENUE - BLOOMINGDALE ROAD
18.01,379,Queens,TNB S Toll Plaza - Queens Anchorage
55.3,99,Queens,Whitestone Expwy S Exit 14 (Linden Pl) - VWE S MP8.65 (Exit 13 Northern Blvd)
50.95,63,Staten Island,WSE N VICTORY BLVD - SOUTH AVENUE
48.46,155,Staten Island,WSE N TYRELLAN AVENUE - BLOOMINGDALE ROAD
51.57,319,Queens,CVE NB GCP - WILLETS PT BLVD
44.11,52,Staten Island,SIE E VNB E FINGERBOARD ROAD - SI GANTRY LOWER LEVEL
35.41,302,Queens,VWE S MP2.66 (Exit 2 Rockaway Blvd) - Belt Pkwy E 182nd St
27.96,256,Brooklyn,BQE S 46TH STREET - LEONARD STREET
11.8,375,Bronx,MDE S HARLEM RIVER PARK - GWB W AMSTERDAM AVENUE LOWER LEVEL
42.25,168,Manhattan,BQE N Atlantic Ave - BKN Bridge Manhattan Side
54.68,115,Staten Island,WSE S BLLOMINGDALE ROAD - TYRELLAN AVENUE
9.32,463,Bronx,MDE S HARLEM RIVER PARK - GWB W AMSTERDAM AVENUE LOWER LEVEL
32.93,269,Queens,VWE N MP4.63 (Exit 6 - Jamaica Ave) - MP6.39 (Exit 11 Jewel Ave)
59.65,54,Staten Island,WSE N VICTORY BLVD - SOUTH AVENUE
18.01,294,Manhattan,QMT E Manhattan Side - Toll Plaza
55.92,51,Staten Island,SIE W RICHMOND AVENUE - SOUTH AVENUE
0.0,0,Staten Island,SIE E-MLK N RICHMOND AVENUE - WALKER STREET
24.23,203,Queens,LIE W 108TH ST - 84TH ST
12.42,192,Manhattan,TBB W - FDR S MANHATTAN TRUSS - E116TH STREET
