SPEED,TRAVEL_TIME,BOROUGH,LINK_NAME
54.68,52,Staten Island,WSE S SOUTH AVENUE - VICTORY BOULEVARD
36.66,135,Manhattan,LINCOLN TUNNEL W NORTH TUBE NY - NJ
49.7,154,Staten Island,440 N FRANCIS STREET - WSE N TYRELLAN AVE
54.68,168,Queens,Laurelton Pkwy S @ SSP - Belt Pkwy W 182nd St
20.5,268,Manhattan,LINCOLN TUNNEL E CENTER TUBE NJ - NY
55.92,115,Queens,BWB S Queens Anchorage - WSE S Exit 14 (Linden Pl)
52.81,94,Queens,LIE E 84TH ST - 108TH ST
0.0,0,Bronx,CBE W L/LE V AMSTERDAM AVE - I 95 S LOC LNS
0.0,0,Staten Island,MLK N WALKER STREET - NJ ROUTE 169
16.15,310,Manhattan,LINCOLN TUNNEL W NORTH TUBE NY - NJ
48.46,52,Bronx,CBE E TAYLOR AVENUE - CASTLE HILL AVENUE
27.96,118,Manhattan,11th ave s ganservoort - west st @ spring st
52.81,144,Queens,CIP S Hempstead Tpk - Laurelton Pkwy @ SSP
57.16,44,Bronx,CBE E TAYLOR AVENUE - CASTLE HILL AVENUE
45.36,51,Staten Island,SIE E VNB E FINGERBOARD ROAD - SI GANTRY LOWER LEVEL
53.43,128,Queens,TNB S Toll Plaza - Queens Anchorage
27.34,248,Manhattan,FDR N 25th - 63rd St
29.2,190,Bronx,BRP N WATSON AVENUE - FORDHAM ROAD
26.09,618,Queens,CIP NB GCP - TNB
21.74,243,Manhattan,11th ave n ganservoort - 12th ave @ 40th st
57.16,131,Bronx,BE S Griswold - Castle Hill Avenue
47.84,48,Staten Island,SIE E VNB E FINGERBOARD ROAD - SI GANTRY LOWER LEVEL
49.7,221,Queens,CIP S LIE - Hempstead Tpk
50.33,85,Brooklyn,GOW N 92ND STREET - 7TH AVENUE
50.95,91,Brooklyn,VNB E SI GANTRY UPPER LEVEL - BROOKLYN GANTRY UPPER LEVEL
34.17,354,Queens,Belt Pkwy W JFK Expressway - VWE N Jamaica Ave
0.0,0,Staten island,VNB W-SIE W SI GANTRY UPPER LEVEL - FINGERBOARD ROAD
52.19,85,Bronx,BE S CASTLE HILL AVENUE - STRATFORD AVENUE
60.89,114,Staten Island,SIE W - WSE S SOUTH AVENUE - SOUTH AVENUE
0.0,0,Bronx,CBE AMSTERDAM AVE (L/LVL) - MORRIS AVE
20.5,257,Manhattan,11th ave n ganservoort - 12th ave @ 40th st
59.03,111,Staten Island,SIE E BRADLEY AVENUE - CLOVE ROAD
59.03,186,Queens,CIP N Hempstead Tpk - LIE
50.95,91,Bronx,BWB S Toll Plaza - Queens Anchorage
5.59,423,Bronx,CBE W CASTLE HILL AVENUE - TAYLOR AVENUE
40.38,486,Manhattan,Westside Hwy S GWB - 57th St
50.33,128,Queens,Whitestone Expwy N Exit 14 (Linden Pl) - BWB N Queens Anchorage
0.0,0,Bronx,BRP S FORDHAM ROAD - WATSON AVENUE
44.73,243,Queens,CIP N Hempstead Tpk - LIE
37.9,288,Queens,CVE NB LIE - WILLETS PT BLVD
45.36,150,Manhattan,FDR N 25th - 63rd St
25.47,276,Brooklyn,BQE N LEONARD STREET - 46TH STREET
44.11,169,Queens,TBB S MANHATTAN LIFT SPAN - QUEENS ANCHORAGE
58.4,79,Bronx,BE N STRATFORD AVENUE - CASTLE HILL AVE
19.26,596,Queens,CIP N TNB - Whitestone Expwy S Exit 14 (Linden Pl)
50.33,42,Brooklyn,VNB E-GOWANUS N BROOKLYN GANTRY UPPER LEVEL - 92ND STREET
50.95,214,Queens,CIP N Hempstead Tpk - LIE
21.12,598,Brooklyn,GOW N 7TH AVENUE - 9TH STREET
45.98,156,Queens,MDE S TBB EXIT RAMP - QUEENS ANCHORAGE
16.77,573,Manhattan,BQE N Atlantic Ave - MAN Bridge Manhattan Side
59.65,132,Staten Island,WSE N ARDEN AVENUE - VICTORY BLVD
47.84,89,Brooklyn,GOW S 7TH AVENUE - 92ND STREET
44.73,68,Queens,BE S TBB EXIT RAMP - MANHATTAN LIFT SPAN
50.95,232,Queens,CIP N LIE ramp - TNB
55.3,119,Staten Island,SIE E BRADLEY AVENUE - CLOVE ROAD
41.63,154,Queens,BWB S Queens Anchorage - WSE S Exit 14 (Linden Pl)
51.57,90,Brooklyn,VNB E SI GANTRY LOWER LEVEL - BROOLKYN GANTRY LOWER LEVEL
50.95,84,Brooklyn,GOW N 92ND STREET - 7TH AVENUE
0.0,0,Bronx,CBE W L/LE V AMSTERDAM AVE - I 95 S LOC LNS
0.0,0,Staten Island,MLK S - SIE W WALKER STREET - RICHMOND AVENUE
58.4,158,Queens,Belt Pkwy E 182nd St - Laurelton Pkwy N @ SSP
0.0,0,Manhattan,Westside Hwy N 57th St - GWB
49.7,130,Queens,Whitestone Expwy N Exit 14 (Linden Pl) - BWB N Queens Anchorage
49.7,138,Queens,VWE S MP4.63 (Exit 6 Jamaica Ave) - MP2.66 (Exit 2 Roackaway Blvd)
0.0,0,Staten Island,SIE E-MLK N RICHMOND AVENUE - WALKER STREET
29.2,89,Manhattan,BKN Bridge Manhattan Side - FDR N Catherine Slip
60.89,100,Staten Island,WSE N-SIE E SOUTH AVENUE - SOUTH AVENUE
61.51,113,Staten Island,SIE W - WSE S SOUTH AVENUE - SOUTH AVENUE
60.27,100,Staten Island,WSE N-SIE E SOUTH AVENUE - SOUTH AVENUE
53.43,103,Staten Island,SIE E CLOVE ROAD - FINGERBOARD ROAD
55.92,148,Bronx,CBE E CASTLE HILL AVE - BE N WATERBURY AVE
19.88,163,Manhattan,11th ave s ganservoort - west st @ spring st
47.22,45,Brooklyn,VNB E-GOWANUS N BROOKLYN GANTRY UPPER LEVEL - 92ND STREET
19.88,220,Bronx,HRP N LAFAYETTE AVENUE - E TREMONT AVENUE
52.81,121,Queens,BWB S Queens Anchorage - WSE S Exit 14 (Linden Pl)
6.21,485,Manhattan,12th Ave N 40th - 57th St
45.98,165,Queens,CIP S Hempstead Tpk - Laurelton Pkwy @ SSP
52.19,41,Staten Island,VNB W-SIE W SI GANTRY LOWER LEVEL - FINGERBOARD ROAD
50.33,42,Brooklyn,VNB E-GOWANUS N BROOKLYN GANTRY UPPER LEVEL - 92ND STREET
52.81,121,Queens,BWB S Queens Anchorage - WSE S Exit 14 (Linden Pl)
50.33,46,Staten Island,SIE E VNB E FINGERBOARD ROAD - SI GANTRY LOWER LEVEL
56.54,162,Queens,Laurelton Pkwy S @ SSP - Belt Pkwy W 182nd St
39.14,175,Manhattan,FDR S 63rd - 25th St
32.31,318,Manhattan,FDR S 25th St - Catherine Slip
53.43,86,Brooklyn,VNB W BROOKLYN GANTRY LOWER LEVEL - SI GANTRY LOWER LEVEL
55.92,99,Queens,Whitestone Expwy S Exit 14 (Linden Pl) - VWE S MP8.65 (Exit 13 Northern Blvd)
0.0,0,Bronx,BRP S FORDHAM ROAD - WATSON AVENUE
48.46,44,Brooklyn,GOW S VNB W 92ND STREET - BKLYN GANTRY UPPER LEVEL
55.92,109,Staten Island,WSE N-SIE E SOUTH AVENUE - SOUTH AVENUE
0.0,0,Staten Island,ROUTE 169 S - MLK WALKER STREET
57.78,46,Queens,TNB S Qns Anchorage - CIP S @ TNB
41.63,60,Bronx,HRP S Lafayette Ave - BWB S Toll Plaza
34.17,163,Manhattan,LINCOLN TUNNEL W CENTER TUBE NY - NJ
55.3,51,Staten Island,SIE W RICHMOND AVENUE - SOUTH AVENUE
52.81,87,Brooklyn,VNB W BROOKLYN GANTRY UPPER LEVEL - SI GANTRY UPPER LEVEL
60.27,131,Staten Island,WSE S VICTORY BOULEVARD - ARDEN AVENUE
23.61,276,Manhattan,BBT E Manhattan Portal - Toll Plaza
47.84,97,Brooklyn,VNB E SI GANTRY LOWER LEVEL - BROOLKYN GANTRY LOWER LEVEL
52.81,87,Brooklyn,VNB W BROOKLYN GANTRY UPPER LEVEL - SI GANTRY UPPER LEVEL
0.0,0,Bronx,CBE W U/LEV AMSTERDAM AVE - I95 S EXP LNS
46.6,45,Brooklyn,GOW S VNB W 92ND STREET - BKLYN GANTRY UPPER LEVEL
44.73,48,Brooklyn,GOW S VNB W 92ND STREET - BKLYN GANTRY UPPER LEVEL
53.43,53,Staten Island,WSE S SOUTH AVENUE - VICTORY BOULEVARD
49.7,50,Bronx,HRP S Lafayette Ave - BWB S Toll Plaza
45.98,239,Queens,CIP S LIE - Hempstead Tpk
12.42,252,Manhattan,12th Ave N 40th - 57th St
0.0,0,Staten Island,SIE W - MLK N WOOLEY AVENUE - WLAKER STREET
45.98,46,Brooklyn,GOW S VNB W 92ND STREET - BKLYN GANTRY UPPER LEVEL
46.6,253,Queens,CIP N LIE ramp - TNB
1.86,1321,Queens,BE S TBB EXIT RAMP - MANHATTAN LIFT SPAN
42.25,290,Queens,Belt Pkwy W JFK Expressway - VWE N Jamaica Ave
41.63,172,Queens,MDE S TBB EXIT RAMP - QUEENS ANCHORAGE
10.56,227,Manhattan,TBB W - FDR S MANHATTAN TRUSS - E116TH STREET
47.84,89,Brooklyn,GOW N 92ND STREET - 7TH AVENUE
54.68,152,Bronx,CBE E CASTLE HILL AVE - BE N WATERBURY AVE
31.68,228,Queens,TBB N QUEENS ANCHORAGE - BE N
52.19,316,Queens,CVE NB GCP - WILLETS PT BLVD
50.95,45,Staten Island,SIE E VNB E FINGERBOARD ROAD - SI GANTRY UPPER LEVEL
53.43,100,Queens,VWE S MP8.65 (Exit 13 Northern Blvd) - MP6.39 (Exit 11 Jewel Ave)
46.6,346,Queens,CIP NB GCP - TNB
62.75,111,Staten Island,SIE W - WSE S SOUTH AVENUE - SOUTH AVENUE
