SPEED,TRAVEL_TIME,BOROUGH,LINK_NAME
3.72,679,Bronx,CBE W CASTLE HILL AVENUE - TAYLOR AVENUE
34.79,225,Staten Island,WSE N ARDEN AVENUE - VICTORY BLVD
0.0,0,Manhattan,12th Ave N 40th - 57th St
4.97,1289,Queens,Whitestone Expwy N Exit 14 (Linden Pl) - BWB N Queens Anchorage
39.14,60,Manhattan,FDR N - TBB E 116TH STREET - MANHATTAN TRUSS
52.81,118,Staten Island,WSE S BLLOMINGDALE ROAD - TYRELLAN AVENUE
61.51,72,Bronx,HRP N LAFAYETTE AVENUE - E TREMONT AVENUE
58.4,275,Queens,CIP NB GCP - TNB
0.0,0,Brooklyn,GOW N 7TH AVENUE - 9TH STREET
0.0,0,Brooklyn,BQE N LEONARD STREET - 46TH STREET
0.0,0,Queens,TBB N QUEENS ANCHORAGE - BE N
34.17,296,Manhattan,FDR S 25th St - Catherine Slip
2.48,1905,Manhattan,LINCOLN TUNNEL E CENTER TUBE NJ - NY
48.46,133,Queens,BWB S Queens Anchorage - WSE S Exit 14 (Linden Pl)
42.87,91,Staten Island,SIE E RICHMOND AVENUE - WOOLEY AVENUE
37.9,42,Staten Island,SIE E WOOLEY AVENUE - BRADLEY AVENUE
0.0,0,Bronx,BRP S FORDHAM ROAD - WATSON AVENUE
41.63,51,Staten island,VNB W-SIE W SI GANTRY UPPER LEVEL - FINGERBOARD ROAD
41.63,472,Manhattan,Westside Hwy N 57th St - GWB
41.01,112,Brooklyn,VNB W BROOKLYN GANTRY UPPER LEVEL - SI GANTRY UPPER LEVEL
50.33,152,Staten Island,440 N FRANCIS STREET - WSE N TYRELLAN AVE
21.12,385,Bronx,CBE W U/LEV AMSTERDAM AVE - I95 S EXP LNS
24.23,364,Queens,VWE S MP6.39 (Exit 11 Jewel Ave) - MP4.63 (Exit 6 Jamaica Ave)
9.32,721,Manhattan,FDR N 25th - 63rd St
33.55,80,Staten Island,SIE E SOUTH AVENUE - RICHMOND AVENUE
28.58,136,Staten Island,SIE E RICHMOND AVENUE - WOOLEY AVENUE
0.0,0,Brooklyn,GOW N 92ND STREET - 7TH AVENUE
0.0,0,Bronx,BRP N WATSON AVENUE - FORDHAM ROAD
45.36,182,Staten Island,MLK S - SIE E WALKER STREET - WOOLEY AVENUE
27.96,78,Queens,CIP N ramp to TNB - TNB Queens Anchorage
4.34,1104,Manhattan,LINCOLN TUNNEL W NORTH TUBE NY - NJ
55.3,100,Queens,Whitestone Expwy S Exit 14 (Linden Pl) - VWE S MP8.65 (Exit 13 Northern Blvd)
52.19,113,Staten Island,SIE W FINGERBOARD ROAD - CLOVE ROAD
26.71,345,Queens,Laurelton Pkwy S @ SSP - Belt Pkwy W 182nd St
44.11,48,Brooklyn,GOW S VNB W 92ND STREET - BKLYN GANTRY UPPER LEVEL
15.53,688,Queens,CIP S LIE - Hempstead Tpk
31.68,76,Manhattan,TBB W - FDR S MANHATTAN TRUSS - E116TH STREET
49.7,86,Bronx,CBE AMSTERDAM AVE (L/LVL) - MORRIS AVE
13.04,372,Manhattan,LINCOLN TUNNEL W NORTH TUBE NY - NJ
34.79,134,Brooklyn,VNB W BROOKLYN GANTRY UPPER LEVEL - SI GANTRY UPPER LEVEL
14.29,544,Queens,Laurelton Pkwy N @ SSP - CIP N Hempstead Tpk
49.7,132,Queens,TNB S Toll Plaza - Queens Anchorage
24.23,307,Bronx,BE N Castle Hill Avenue - Griswold Ave
53.43,137,Manhattan,GWB E LOWER LEVEL PLAZA - CBE E LOWER LEVEL AMSTERDAM AVE
22.36,100,Manhattan,12th Ave S 57th St - 45th St
49.08,108,Staten Island,MLK S - SIE W WALKER STREET - RICHMOND AVENUE
41.01,168,Queens,BE S TBB EXIT RAMP - QUEENS ANCHORAGE
48.46,154,Staten Island,WSE N TYRELLAN AVENUE - BLOOMINGDALE ROAD
22.36,114,Manhattan,BKN Bridge Manhattan Side - FDR N Catherine Slip
13.67,361,Manhattan,LINCOLN TUNNEL W NORTH TUBE NY - NJ
51.57,125,Queens,BWB S Queens Anchorage - WSE S Exit 14 (Linden Pl)
50.95,148,Staten Island,WSE N TYRELLAN AVENUE - BLOOMINGDALE ROAD
58.4,134,Staten Island,WSE S VICTORY BOULEVARD - ARDEN AVENUE
0.0,0,Staten Island,ROUTE 169 S - MLK WALKER STREET
37.9,219,Staten Island,MLK S - SIE E WALKER STREET - WOOLEY AVENUE
51.57,144,Bronx,BE S Griswold - Castle Hill Avenue
0.0,0,Brooklyn,GOW S 9TH STREET - 7TH AVENUE
0.0,0,Brooklyn,GOW S 9TH STREET - 7TH AVENUE
39.76,40,Staten Island,SIE E WOOLEY AVENUE - BRADLEY AVENUE
53.43,83,Bronx,BE S CASTLE HILL AVENUE - STRATFORD AVENUE
0.0,0,Brooklyn,GOW S 9TH STREET - 7TH AVENUE
19.88,277,Bronx,BRP N WATSON AVENUE - FORDHAM ROAD
32.31,66,Brooklyn,GOW S VNB W 92ND STREET - BKLYN GANTRY UPPER LEVEL
6.83,819,Manhattan,West St S Spring St - BBT Manhattan Portal outbound
44.73,143,Queens,Whitestone Expwy N Exit 14 (Linden Pl) - BWB N Queens Anchorage
54.68,139,Queens,CIP S Hempstead Tpk - Laurelton Pkwy @ SSP
0.0,0,Manhattan,12th Ave N 40th - 57th St
47.84,48,Staten Island,SIE E VNB E FINGERBOARD ROAD - SI GANTRY UPPER LEVEL
0.0,0,Brooklyn,GOW N 7TH AVENUE - 9TH STREET
4.97,550,Queens,BE S TBB EXIT RAMP - MANHATTAN LIFT SPAN
9.94,534,Manhattan,LINCOLN TUNNEL E SOUTH TUBE - NJ - NY
11.8,485,Staten Island,SIE W FINGERBOARD ROAD - CLOVE ROAD
43.49,58,Bronx,CBE E TAYLOR AVENUE - CASTLE HILL AVENUE
17.39,438,Queens,CIP S Hempstead Tpk - Laurelton Pkwy @ SSP
0.0,0,Manhattan,BQE N Atlantic Ave - MAN Bridge Manhattan Side
0.0,0,Brooklyn,GOW S 7TH AVENUE - 92ND STREET
47.84,29,Staten Island,SIE W BRADLEY AVENUE - WOOLEY AVENUE
62.75,121,Queens,CIP S Hempstead Tpk - Laurelton Pkwy @ SSP
0.0,0,Manhattan,BQE N Atlantic Ave - MAN Bridge Manhattan Side
16.15,459,Queens,TBB S MANHATTAN LIFT SPAN - QUEENS ANCHORAGE
45.36,47,Brooklyn,GOW S VNB W 92ND STREET - BKLYN GANTRY UPPER LEVEL
54.05,52,Staten Island,WSE S SOUTH AVENUE - VICTORY BOULEVARD
0.0,0,Brooklyn,BQE S 46TH STREET - LEONARD STREET
49.7,28,Staten Island,SIE W BRADLEY AVENUE - WOOLEY AVENUE
42.87,377,Queens,CIP NB GCP - TNB
5.59,882,Manhattan,11th ave n ganservoort - 12th ave @ 40th st
46.6,93,Bronx,BWB S Toll Plaza - Queens Anchorage
0.0,0,Staten Island,ROUTE 169 S - MLK WALKER STREET
58.4,134,Staten Island,WSE N ARDEN AVENUE - VICTORY BLVD
61.51,52,Staten Island,WSE N VICTORY BLVD - SOUTH AVENUE
61.51,113,Staten Island,SIE W - WSE S SOUTH AVENUE - SOUTH AVENUE
54.68,72,Staten Island,SIE W WOOLEY AVENUE - RICHMOND AVENUE
9.32,2075,Manhattan,Westside Hwy N 57th St - GWB
41.63,64,Queens,TNB S Qns Anchorage - CIP S @ TNB
14.91,527,Queens,TBB N QUEENS ANCHORAGE - MANHATTAN LIFT SPAN
48.46,114,Staten Island,SIE E CLOVE ROAD - FINGERBOARD ROAD
47.84,156,Staten Island,SIE W - MLK N WOOLEY AVENUE - WLAKER STREET
0.0,0,Manhattan,11th ave s ganservoort - west st @ spring st
0.0,0,Queens,Belt Pkwy W JFK Expressway - VWE N Jamaica Ave
0.0,0,Manhattan,BQE N Atlantic Ave - MAN Bridge Manhattan Side
52.81,27,Staten Island,SIE W BRADLEY AVENUE - WOOLEY AVENUE
41.63,262,Queens,CVE NB LIE - WILLETS PT BLVD
48.46,95,Brooklyn,VNB W BROOKLYN GANTRY LOWER LEVEL - SI GANTRY LOWER LEVEL
0.0,0,Bronx,MDE S HARLEM RIVER PARK - GWB W AMSTERDAM AVENUE UPPER LEVEL
47.22,251,Queens,CIP N LIE ramp - TNB
41.01,190,Staten Island,WSE N ARDEN AVENUE - VICTORY BLVD
39.14,235,Queens,Laurelton Pkwy S @ SSP - Belt Pkwy W 182nd St
50.95,146,Staten Island,SIE W - MLK N WOOLEY AVENUE - WLAKER STREET
47.84,160,Staten Island,440 N FRANCIS STREET - WSE N TYRELLAN AVE
52.19,150,Staten Island,WSE N ARDEN AVENUE - VICTORY BLVD
54.68,120,Staten Island,SIE E BRADLEY AVENUE - CLOVE ROAD
16.15,342,Manhattan,LINCOLN TUNNEL E CENTER TUBE NJ - NY
38.52,195,Queens,TBB S MANHATTAN LIFT SPAN - QUEENS ANCHORAGE
26.09,247,Queens,TNB N Queens Anchorage - Toll Plaza
0.0,0,Staten Island,ROUTE 169 S - MLK WALKER STREET
9.94,860,Queens,VWE S MP6.39 (Exit 11 Jewel Ave) - MP4.63 (Exit 6 Jamaica Ave)
34.17,161,Queens,QMT W Toll Plaza - Manhattan Side
50.95,91,Brooklyn,VNB W BROOKLYN GANTRY UPPER LEVEL - SI GANTRY UPPER LEVEL
45.98,169,Queens,Laurelton Pkwy N @ SSP - CIP N Hempstead Tpk
39.14,114,Bronx,BE S CASTLE HILL AVENUE - STRATFORD AVENUE
18.01,298,Manhattan,QMT E Manhattan Side - Toll Plaza
37.9,290,Queens,CIP N Hempstead Tpk - LIE
0.0,0,Manhattan,BQE N Atlantic Ave - MAN Bridge Manhattan Side
52.19,102,Queens,VWE S MP8.65 (Exit 13 Northern Blvd) - MP6.39 (Exit 11 Jewel Ave)
47.84,156,Bronx,BE S Griswold - Castle Hill Avenue
53.43,116,Staten Island,WSE S BLLOMINGDALE ROAD - TYRELLAN AVENUE
53.43,26,Staten Island,SIE W BRADLEY AVENUE - WOOLEY AVENUE
32.93,166,Manhattan,LINCOLN TUNNEL W CENTER TUBE NY - NJ
39.76,175,Queens,MDE S TBB EXIT RAMP - QUEENS ANCHORAGE
16.15,415,Manhattan,FDR S 63rd - 25th St
42.87,91,Queens,LIE WB LITTLE NECK PKWY - NB CIP
40.38,123,Queens,LIE W 108TH ST - 84TH ST
45.98,94,Queens,BWB N Queens Anchorage - Toll Plaza
6.21,1754,Queens,CIP N Hempstead Tpk - LIE
0.0,0,Brooklyn,BQE S 46TH STREET - LEONARD STREET
50.33,85,Bronx,CBE AMSTERDAM AVE (L/LVL) - MORRIS AVE
41.01,39,Staten Island,SIE E WOOLEY AVENUE - BRADLEY AVENUE
44.11,169,Staten Island,SIE W - MLK N WOOLEY AVENUE - WLAKER STREET
0.0,0,Bronx,BRP S FORDHAM ROAD - WATSON AVENUE
13.04,475,Manhattan,12th ave @ 45th - 11 ave ganservoort st
42.25,165,Queens,MDE S TBB EXIT RAMP - QUEENS ANCHORAGE
54.05,119,Queens,BWB S Queens Anchorage - WSE S Exit 14 (Linden Pl)
50.95,52,Queens,TNB S Qns Anchorage - CIP S @ TNB
12.42,724,Queens,VWE S MP6.39 (Exit 11 Jewel Ave) - MP4.63 (Exit 6 Jamaica Ave)
59.03,84,Queens,LIE W 108TH ST - 84TH ST
26.71,107,Staten Island,WSE S SOUTH AVENUE - VICTORY BOULEVARD
0.0,0,Brooklyn,BQE S 46TH STREET - LEONARD STREET
23.61,110,Manhattan,FDR S Catherine Slip - BKN Bridge Manhattan Side
33.55,127,Bronx,CBE AMSTERDAM AVE (L/LVL) - MORRIS AVE
0.0,0,Manhattan,West St S Spring St - BBT Manhattan Portal outbound
17.39,403,Brooklyn,BQE N LEONARD STREET - 46TH STREET
52.19,135,Staten Island,SIE E-MLK N RICHMOND AVENUE - WALKER STREET
53.43,100,Queens,VWE N MP8.64 (Exit 13 Northern Blvd) - Whitestone Expwy Exit 14 (Linden Pl)
32.31,233,Queens,CIP S Hempstead Tpk - Laurelton Pkwy @ SSP
33.55,165,Bronx,BRP N WATSON AVENUE - FORDHAM ROAD
42.25,50,Brooklyn,VNB E-GOWANUS N BROOKLYN GANTRY UPPER LEVEL - 92ND STREET
42.87,222,Queens,LIE WB LITTLE NECK PKWY - NB CVE
42.87,50,Staten Island,VNB W-SIE W SI GANTRY LOWER LEVEL - FINGERBOARD ROAD
13.67,361,Queens,LIE E 84TH ST - 108TH ST
12.42,620,Queens,Laurelton Pkwy N @ SSP - CIP N Hempstead Tpk
5.59,1175,Queens,TBB N QUEENS ANCHORAGE - BE N
50.33,110,Staten Island,SIE E CLOVE ROAD - FINGERBOARD ROAD
44.73,83,Queens,Belt Pkwy W 182nd St - JFK Expressway
37.9,144,Queens,QMT W Toll Plaza - Manhattan Side
46.6,150,Queens,TBB N QUEENS ANCHORAGE - BE N
56.54,139,Staten Island,WSE N ARDEN AVENUE - VICTORY BLVD
54.68,91,Staten Island,WSE N BLOOMUINGDALE ROAD - ARDEN AVENUE
4.34,963,Bronx,CBE AMSTERDAM AVE (L/LVL) - MORRIS AVE
50.95,122,Staten Island,WSE S BLLOMINGDALE ROAD - TYRELLAN AVENUE
10.56,525,Manhattan,LINCOLN TUNNEL E SOUTH TUBE - NJ - NY
0.0,0,Manhattan,West St S Spring St - BBT Manhattan Portal outbound
22.36,485,Queens,VWE S MP2.66 (Exit 2 Rockaway Blvd) - Belt Pkwy E 182nd St
46.6,46,Staten Island,VNB W-SIE W SI GANTRY LOWER LEVEL - FINGERBOARD ROAD
