SPEED,TRAVEL_TIME,BOROUGH,LINK_NAME
38.52,231,Queens,VWE S MP6.39 (Exit 11 Jewel Ave) - MP4.63 (Exit 6 Jamaica Ave)
64.62,126,Bronx,I-87 NYST S Exit 1 - MDE S Van Cortlandt Park
2.48,1910,Manhattan,LINCOLN TUNNEL W CENTER TUBE NY - NJ
52.19,209,Queens,CIP N Hempstead Tpk - LIE
0.0,0,Staten Island,WSE S VICTORY BOULEVARD - ARDEN AVENUE
36.66,118,Bronx,MDE S HARLEM RIVER PARK - GWB W AMSTERDAM AVENUE UPPER LEVEL
0.0,0,Brooklyn,VNB E SI GANTRY LOWER LEVEL - BROOLKYN GANTRY LOWER LEVEL
0.0,0,Staten Island,WSE N ARDEN AVENUE - VICTORY BLVD
56.54,284,Queens,CIP NB GCP - TNB
0.0,0,Staten Island,440 N FRANCIS STREET - WSE N TYRELLAN AVE
49.7,43,Brooklyn,GOW S VNB W 92ND STREET - BKLYN GANTRY LOWER LEVEL
0.0,0,Staten Island,ROUTE 169 S - MLK WALKER STREET
49.08,151,Manhattan,GWB E LOWER LEVEL PLAZA - CBE E LOWER LEVEL AMSTERDAM AVE
8.07,1425,Queens,Belt Pkwy W JFK Expressway - VWE N Jamaica Ave
16.77,474,Queens,TBB N QUEENS ANCHORAGE - MANHATTAN LIFT SPAN
50.33,92,Brooklyn,VNB E SI GANTRY LOWER LEVEL - BROOLKYN GANTRY LOWER LEVEL
49.08,131,Queens,Whitestone Expwy N Exit 14 (Linden Pl) - BWB N Queens Anchorage
0.0,0,Staten Island,SIE W FINGERBOARD ROAD - CLOVE ROAD
0.0,0,Staten Island,SIE E VNB E FINGERBOARD ROAD - SI GANTRY LOWER LEVEL
43.49,189,Bronx,CBE E CASTLE HILL AVE - BE N WATERBURY AVE
32.31,336,Queens,CVE NB LIE - WILLETS PT BLVD
19.88,248,Manhattan,LINCOLN TUNNEL W NORTH TUBE NY - NJ
24.85,89,Queens,CIP N ramp to TNB - TNB Queens Anchorage
32.93,162,Queens,VWE N MP8.64 (Exit 13 Northern Blvd) - Whitestone Expwy Exit 14 (Linden Pl)
0.0,0,Staten Island,SIE E WOOLEY AVENUE - BRADLEY AVENUE
0.0,0,Staten Island,MLK S - SIE E WALKER STREET - WOOLEY AVENUE
34.79,216,Queens,TBB S MANHATTAN LIFT SPAN - QUEENS ANCHORAGE
20.5,345,Queens,MDE S TBB EXIT RAMP - QUEENS ANCHORAGE
0.0,0,Brooklyn,VNB W BROOKLYN GANTRY LOWER LEVEL - SI GANTRY LOWER LEVEL
0.0,0,Staten Island,VNB W-SIE W SI GANTRY LOWER LEVEL - FINGERBOARD ROAD
41.01,167,Manhattan,FDR S 63rd - 25th St
0.0,0,Staten Island,SIE E CLOVE ROAD - FINGERBOARD ROAD
57.78,141,Bronx,I-87 NYST S Exit 1 - MDE S Van Cortlandt Park
15.53,137,Brooklyn,GOW S VNB W 92ND STREET - BKLYN GANTRY LOWER LEVEL
49.08,87,Bronx,CBE W MORRIS AVE - GWB W AMSTERDAM AVE (L/LVL)
19.88,401,Queens,TBB N QUEENS ANCHORAGE - MANHATTAN LIFT SPAN
9.32,453,Bronx,MDE S HARLEM RIVER PARK - GWB W AMSTERDAM AVENUE LOWER LEVEL
33.55,211,Brooklyn,BQE N LEONARD STREET - 46TH STREET
0.0,0,Staten Island,SIE E VNB E FINGERBOARD ROAD - SI GANTRY UPPER LEVEL
43.49,251,Queens,CIP N Hempstead Tpk - LIE
48.46,142,Queens,TNB N Queens Anchorage - Toll Plaza
0.0,0,Staten Island,SIE E VNB E FINGERBOARD ROAD - SI GANTRY LOWER LEVEL
16.15,333,Manhattan,11th ave n ganservoort - 12th ave @ 40th st
25.47,475,Queens,Belt Pkwy W JFK Expressway - VWE N Jamaica Ave
0.0,0,Staten Island,WSE N VICTORY BLVD - SOUTH AVENUE
51.57,186,Queens,LIE WB LITTLE NECK PKWY - NB CVE
23.61,271,Queens,BWB S Queens Anchorage - WSE S Exit 14 (Linden Pl)
30.44,223,Queens,TNB N Queens Anchorage - Toll Plaza
34.17,217,Queens,TBB S MANHATTAN LIFT SPAN - QUEENS ANCHORAGE
13.04,195,Manhattan,FDR S Catherine Slip - BKN Bridge Manhattan Side
41.01,197,Queens,TBB N QUEENS ANCHORAGE - MANHATTAN LIFT SPAN
1.86,2606,Queens,QMT W Toll Plaza - Manhattan Side
34.17,208,Queens,BE S TBB EXIT RAMP - QUEENS ANCHORAGE
0.0,0,Staten Island,WSE S BLLOMINGDALE ROAD - TYRELLAN AVENUE
27.34,171,Brooklyn,VNB E SI GANTRY UPPER LEVEL - BROOKLYN GANTRY UPPER LEVEL
34.17,115,Queens,LIE WB LITTLE NECK PKWY - NB CIP
42.25,162,Manhattan,FDR S 63rd - 25th St
32.31,199,Queens,Whitestone Expwy N Exit 14 (Linden Pl) - BWB N Queens Anchorage
0.0,0,Staten Island,SIE W FINGERBOARD ROAD - CLOVE ROAD
47.22,151,Brooklyn,BQE S 46TH STREET - LEONARD STREET
0.0,0,Staten Island,VNB W-SIE W SI GANTRY LOWER LEVEL - FINGERBOARD ROAD
0.0,0,Staten Island,SIE E-MLK N RICHMOND AVENUE - WALKER STREET
41.01,393,Queens,CIP NB GCP - TNB
35.41,309,Queens,CVE NB LIE - WILLETS PT BLVD
11.8,549,Manhattan,BBT E Manhattan Portal - Toll Plaza
3.1,1285,Bronx,CBE W MORRIS AVE - GWB W AMSTERDAM AVE (U/LVL)
0.0,0,Staten Island,SIE E SOUTH AVENUE - RICHMOND AVENUE
13.67,393,Queens,QMT W Toll Plaza - Manhattan Side
55.3,96,Queens,VWE S MP8.65 (Exit 13 Northern Blvd) - MP6.39 (Exit 11 Jewel Ave)
17.39,149,Manhattan,BKN Bridge Manhattan Side - FDR N Catherine Slip
0.0,0,Staten Island,MLK S - SIE E WALKER STREET - WOOLEY AVENUE
47.84,412,Manhattan,Westside Hwy N 57th St - GWB
56.54,134,Queens,CIP S Hempstead Tpk - Laurelton Pkwy @ SSP
62.75,174,Queens,CIP S LIE - Hempstead Tpk
57.16,192,Queens,CIP N Hempstead Tpk - LIE
0.0,0,Staten Island,WSE S VICTORY BOULEVARD - ARDEN AVENUE
9.94,1223,Brooklyn,GOW N 7TH AVENUE - 9TH STREET
52.19,122,Queens,Whitestone Expwy N Exit 14 (Linden Pl) - BWB N Queens Anchorage
0.0,0,Bronx,CBE W L/LE V AMSTERDAM AVE - I 95 S LOC LNS
49.08,101,Queens,LIE W 108TH ST - 84TH ST
0.0,0,Staten Island,SIE W - MLK N WOOLEY AVENUE - WLAKER STREET
37.28,142,Queens,VWE S MP8.65 (Exit 13 Northern Blvd) - MP6.39 (Exit 11 Jewel Ave)
33.55,221,Queens,TBB S MANHATTAN LIFT SPAN - QUEENS ANCHORAGE
0.0,0,Staten Island,SIE W - MLK N WOOLEY AVENUE - WLAKER STREET
17.39,1143,Manhattan,Westside Hwy S GWB - 57th St
39.76,138,Manhattan,LINCOLN TUNNEL E CENTER TUBE NJ - NY
49.7,85,Brooklyn,GOW N 92ND STREET - 7TH AVENUE
19.88,507,Manhattan,FDR N Catherine Slip - 25th St
54.05,79,Brooklyn,GOW N 92ND STREET - 7TH AVENUE
0.0,0,Staten Island,SIE E CLOVE ROAD - FINGERBOARD ROAD
57.16,47,Queens,TNB S Qns Anchorage - CIP S @ TNB
22.99,276,Queens,Whitestone Expwy N Exit 14 (Linden Pl) - BWB N Queens Anchorage
49.7,86,Brooklyn,GOW S 7TH AVENUE - 92ND STREET
0.0,0,Staten Island,WSE N ARDEN AVENUE - VICTORY BLVD
0.0,0,Staten Island,SIE E WOOLEY AVENUE - BRADLEY AVENUE
57.78,284,Queens,CVE NB GCP - WILLETS PT BLVD
41.01,181,Bronx,BE N Castle Hill Avenue - Griswold Ave
22.99,144,Manhattan,11th ave s ganservoort - west st @ spring st
49.7,166,Bronx,CBE E CASTLE HILL AVE - BE N WATERBURY AVE
8.69,482,Bronx,CBE E AMSTERDAM AVE(U/LVL) - MORRIS AVE
52.81,122,Queens,BWB S Queens Anchorage - WSE S Exit 14 (Linden Pl)
57.16,44,Bronx,CBE W CASTLE HILL AVENUE - TAYLOR AVENUE
36.66,187,Queens,TNB N Queens Anchorage - Toll Plaza
47.22,53,Bronx,BWB N Toll Plaza - HRP N Lafayatte Ave
36.66,263,Queens,LIE WB LITTLE NECK PKWY - NB CVE
22.99,847,Manhattan,Westside Hwy S GWB - 57th St
53.43,180,Queens,LIE WB LITTLE NECK PKWY - NB CVE
3.72,1544,Manhattan,BBT W Toll Plaza - Manhattan Portal
0.0,0,Staten Island,SIE W BRADLEY AVENUE - WOOLEY AVENUE
20.5,263,Manhattan,11th ave n ganservoort - 12th ave @ 40th st
32.93,236,Queens,Laurelton Pkwy N @ SSP - CIP N Hempstead Tpk
4.97,2158,Queens,CIP N TNB - Whitestone Expwy S Exit 14 (Linden Pl)
57.16,145,Bronx,CBE E CASTLE HILL AVE - BE N WATERBURY AVE
20.5,342,Brooklyn,BQE N LEONARD STREET - 46TH STREET
42.25,184,Queens,Laurelton Pkwy N @ SSP - CIP N Hempstead Tpk
0.0,0,Staten Island,WSE S ARDEN AVENUE - BLOOMINGDALE ROAD
35.41,250,Queens,VWE N MP4.63 (Exit 6 - Jamaica Ave) - MP6.39 (Exit 11 Jewel Ave)
50.33,106,Queens,VWE N MP8.64 (Exit 13 Northern Blvd) - Whitestone Expwy Exit 14 (Linden Pl)
0.0,0,Brooklyn,BQE S 46TH STREET - LEONARD STREET
34.17,318,Queens,CVE NB LIE - WILLETS PT BLVD
0.0,0,Staten Island,SIE E VNB E FINGERBOARD ROAD - SI GANTRY LOWER LEVEL
59.65,131,Queens,Laurelton Pkwy N @ SSP - CIP N Hempstead Tpk
44.73,67,Queens,BE S TBB EXIT RAMP - MANHATTAN LIFT SPAN
13.04,535,Queens,BE S TBB EXIT RAMP - QUEENS ANCHORAGE
