SPEED,TRAVEL_TIME,BOROUGH,LINK_NAME
34.17,75,Manhattan,BKN Bridge Manhattan Side - FDR N Catherine Slip
41.01,134,Queens,QMT W Toll Plaza - Manhattan Side
36.66,186,Manhattan,FDR S 63rd - 25th St
44.73,52,Manhattan,FDR N - TBB E 116TH STREET - MANHATTAN TRUSS
51.57,128,Queens,TNB N Queens Anchorage - Toll Plaza
0.0,0,Manhattan,Westside Hwy S GWB - 57th St
4.34,2393,Queens,CIP N Hempstead Tpk - LIE
53.43,110,Staten Island,SIE W FINGERBOARD ROAD - CLOVE ROAD
22.99,139,Manhattan,12th Ave N 40th - 57th St
39.14,139,Manhattan,QMT E Manhattan Side - Toll Plaza
59.65,48,Staten Island,WSE S SOUTH AVENUE - VICTORY BOULEVARD
55.92,83,Brooklyn,VNB E SI GANTRY LOWER LEVEL - BROOLKYN GANTRY LOWER LEVEL
53.43,204,Queens,CIP S LIE - Hempstead Tpk
60.27,153,Queens,Laurelton Pkwy S @ SSP - Belt Pkwy W 182nd St
62.75,96,Staten Island,WSE N-SIE E SOUTH AVENUE - SOUTH AVENUE
56.54,98,Queens,Whitestone Expwy S Exit 14 (Linden Pl) - VWE S MP8.65 (Exit 13 Northern Blvd)
17.39,302,Manhattan,11th ave n ganservoort - 12th ave @ 40th st
19.26,169,Manhattan,12th Ave N 40th - 57th St
59.65,78,Bronx,BE N STRATFORD AVENUE - CASTLE HILL AVE
50.95,134,Manhattan,FDR S 63rd - 25th St
10.56,220,Manhattan,TBB W - FDR S MANHATTAN TRUSS - E116TH STREET
62.13,148,Queens,Laurelton Pkwy S @ SSP - Belt Pkwy W 182nd St
57.16,266,Queens,LIE E QMT TOLL PLAZA - 84TH ST
62.13,191,Queens,CIP N LIE ramp - TNB
22.99,98,Manhattan,12th Ave S 57th St - 45th St
47.84,146,Queens,BE S TBB EXIT RAMP - QUEENS ANCHORAGE
55.92,132,Manhattan,GWB E LOWER LEVEL PLAZA - CBE E LOWER LEVEL AMSTERDAM AVE
60.27,47,Bronx,BWB N Toll Plaza - HRP N Lafayatte Ave
59.03,155,Queens,Belt Pkwy E 182nd St - Laurelton Pkwy N @ SSP
50.33,165,Staten Island,MLK S - SIE E WALKER STREET - WOOLEY AVENUE
8.69,1069,Manhattan,BQE N Atlantic Ave - MAN Bridge Manhattan Side
55.3,84,Brooklyn,VNB E SI GANTRY LOWER LEVEL - BROOLKYN GANTRY LOWER LEVEL
50.33,85,Bronx,CBE W MORRIS AVE - GWB W AMSTERDAM AVE (L/LVL)
59.03,155,Queens,Belt Pkwy E 182nd St - Laurelton Pkwy N @ SSP
51.57,52,Queens,TNB S Qns Anchorage - CIP S @ TNB
66.48,123,Bronx,I-87 NYST S Exit 1 - MDE S Van Cortlandt Park
56.54,50,Bronx,BWB N Toll Plaza - HRP N Lafayatte Ave
48.46,48,Staten Island,SIE E VNB E FINGERBOARD ROAD - SI GANTRY LOWER LEVEL
65.24,49,Staten Island,WSE N VICTORY BLVD - SOUTH AVENUE
0.0,0,Queens,VWE N MP4.63 (Exit 6 - Jamaica Ave) - MP6.39 (Exit 11 Jewel Ave)
25.47,478,Queens,Belt Pkwy W JFK Expressway - VWE N Jamaica Ave
58.4,113,Staten Island,SIE E BRADLEY AVENUE - CLOVE ROAD
54.68,361,Manhattan,Westside Hwy S GWB - 57th St
51.57,162,Staten Island,MLK S - SIE E WALKER STREET - WOOLEY AVENUE
49.08,47,Staten Island,SIE E VNB E FINGERBOARD ROAD - SI GANTRY LOWER LEVEL
0.0,0,Manhattan,11th ave s ganservoort - west st @ spring st
45.36,47,Staten island,VNB W-SIE W SI GANTRY UPPER LEVEL - FINGERBOARD ROAD
0.0,0,Manhattan,LINCOLN TUNNEL W CENTER TUBE NY - NJ
59.03,151,Queens,VWE S MP6.39 (Exit 11 Jewel Ave) - MP4.63 (Exit 6 Jamaica Ave)
59.03,279,Queens,CVE NB GCP - WILLETS PT BLVD
50.95,246,Brooklyn,GOW S 9TH STREET - 7TH AVENUE
47.22,108,Bronx,MDE N RFK Bridge - 142nd St
0.0,0,Manhattan,11th ave s ganservoort - west st @ spring st
62.13,126,Staten Island,WSE N ARDEN AVENUE - VICTORY BLVD
58.4,158,Queens,Belt Pkwy E 182nd St - Laurelton Pkwy N @ SSP
4.34,1573,Manhattan,BBT W Toll Plaza - Manhattan Portal
62.13,46,Staten Island,SIE W RICHMOND AVENUE - SOUTH AVENUE
0.0,0,Manhattan,11th ave s ganservoort - west st @ spring st
64.0,78,Queens,LIE E 84TH ST - 108TH ST
48.46,48,Staten Island,SIE E VNB E FINGERBOARD ROAD - SI GANTRY UPPER LEVEL
36.66,418,Brooklyn,BQE S LEONARD STREET - ATLANTIC AVENUE
59.03,75,Bronx,BE S CASTLE HILL AVENUE - STRATFORD AVENUE
22.99,139,Manhattan,12th Ave N 40th - 57th St
38.52,177,Manhattan,FDR N 25th - 63rd St
61.51,81,Queens,LIE E 84TH ST - 108TH ST
54.05,132,Brooklyn,BQE N LEONARD STREET - 46TH STREET
45.98,85,Queens,LIE WB LITTLE NECK PKWY - NB CIP
